0,1
TCGA-E2-A109,Altered
TCGA-BH-A203,Altered
TCGA-33-4532,Altered
TCGA-55-8097,Altered
TCGA-62-A46P,Altered
TCGA-77-8140,Altered
TCGA-77-8145,Altered
TCGA-79-5596,Altered
TCGA-85-A4JB,Altered
TCGA-94-7557,Altered
TCGA-94-8490,Altered
TCGA-66-2791,Altered
TCGA-F4-6807,Altered
TCGA-LN-A5U7,Altered
TCGA-VQ-A92D,Altered
TCGA-DD-A3A5,Altered
TCGA-XJ-A9DX,Altered
TCGA-AR-A24S,Altered
TCGA-C8-A12L,Altered
TCGA-D8-A1J9,Altered
TCGA-EY-A1GM,Altered
TCGA-13-0904,Altered
TCGA-D1-A1O0,Altered
TCGA-R6-A6XQ,Altered
TCGA-EJ-A46G,Altered
TCGA-IA-A40Y,Altered
TCGA-PG-A914,Altered
TCGA-R6-A6L4,Altered
TCGA-A2-A0CL,Altered
TCGA-04-1519,Altered
TCGA-04-1646,Altered
TCGA-13-A5FU,Altered
TCGA-13-0720,Altered
TCGA-13-0758,Altered
TCGA-13-0887,Altered
TCGA-23-1024,Altered
TCGA-24-1551,Altered
TCGA-24-1557,Altered
TCGA-24-1842,Altered
TCGA-24-2023,Altered
TCGA-29-1769,Altered
TCGA-29-1775,Altered
TCGA-30-1867,Altered
TCGA-30-1887,Altered
TCGA-36-2543,Altered
TCGA-42-2587,Altered
TCGA-59-2363,Altered
TCGA-61-2008,Altered
TCGA-AJ-A3NH,Altered
TCGA-B6-A0WX,Altered
TCGA-BR-6458,Altered
TCGA-CG-4455,Altered
TCGA-CG-5717,Altered
TCGA-CQ-A4CB,Altered
TCGA-CV-6937,Altered
TCGA-CV-6962,Altered
TCGA-DD-AAE8,Altered
TCGA-DG-A2KK,Altered
TCGA-DU-8167,Altered
TCGA-DX-A1KZ,Altered
TCGA-E1-A7YU,Altered
TCGA-FI-A2EY,Altered
TCGA-FX-A48G,Altered
TCGA-GN-A8LL,Altered
TCGA-GS-A9TY,Altered
TCGA-IR-A3LK,Altered
TCGA-KP-A3VZ,Altered
TCGA-L5-A8NI,Altered
TCGA-OR-A5LI,Altered
TCGA-SI-A71O,Altered
TCGA-VS-A953,Altered
TCGA-WK-A8XX,Altered
TCGA-44-A47A,Altered
TCGA-97-7554,Altered
TCGA-78-8662,Altered
TCGA-49-4512,Altered
TCGA-P4-A5E6,Altered
TCGA-24-1417,Altered
TCGA-CM-6168,Altered
TCGA-CR-6480,Altered
TCGA-IB-7888,Altered
TCGA-OR-A5JM,Altered
TCGA-UY-A78N,Altered
TCGA-AX-A0J0,Altered
TCGA-64-5781,Altered
TCGA-AA-3845,Altered
TCGA-A5-A0GB,Altered
TCGA-EW-A2FV,Altered
TCGA-EY-A548,Altered
TCGA-B5-A0JV,Altered
TCGA-GC-A3RB,Altered
TCGA-BR-8078,Altered
TCGA-CK-4951,Altered
TCGA-AJ-A23O,Altered
TCGA-DA-A1IB,Altered
TCGA-RY-A83Y,Altered
TCGA-DU-6392,Altered
TCGA-IB-7651,Altered
TCGA-24-2254,Altered
TCGA-28-1750,Altered
TCGA-AB-2830,Altered
TCGA-AC-A8OS,Altered
TCGA-BR-8368,Altered
TCGA-D7-6527,Altered
TCGA-GN-A26D,Altered
TCGA-WS-AB45,Altered
TCGA-AA-3977,Altered
TCGA-AX-A1CE,Altered
TCGA-18-3411,Altered
TCGA-44-7670,Altered
TCGA-L9-A7SV,Altered
TCGA-DD-A39X,Altered
TCGA-EY-A215,Altered
TCGA-MF-A522,Altered
TCGA-QG-A5Z2,Altered
TCGA-62-8399,Altered
TCGA-AG-A011,Altered
TCGA-AJ-A3BH,Altered
TCGA-CK-6748,Altered
TCGA-AN-A046,Altered
TCGA-A5-A0G2,Altered
TCGA-A8-A09I,Altered
TCGA-AN-A0AK,Altered
TCGA-B2-3923,Altered
TCGA-DD-AADO,Altered
TCGA-G6-A8L8,Altered
TCGA-EO-A3KX,Altered
TCGA-AX-A2HC,Altered
TCGA-EO-A22X,Altered
TCGA-B5-A1MR,Altered
TCGA-73-A9RS,Altered
TCGA-AC-A23H,Altered
TCGA-CZ-5465,Altered
TCGA-EM-A2CU,Altered
TCGA-HU-8602,Altered
TCGA-D1-A103,Altered
TCGA-EO-A3AV,Altered
TCGA-06-5416,Altered
TCGA-B5-A11E,Altered
TCGA-D3-A2JP,Altered
TCGA-E6-A1LX,Altered
TCGA-EE-A2MJ,Altered
TCGA-FW-A3R5,Altered
TCGA-GN-A266,Altered
TCGA-OD-A75X,Altered
TCGA-A3-A8OU,Altered
TCGA-A5-A0G1,Altered
TCGA-AO-A0JC,Altered
TCGA-DD-AACL,Altered
TCGA-DF-A2KU,Altered
TCGA-G3-A25U,Altered
TCGA-ZF-AA4W,Altered
TCGA-GD-A6C6,Altered
TCGA-MI-A75I,Altered
TCGA-EO-A3B0,Altered
TCGA-BS-A0UV,Altered
TCGA-EE-A29M,Altered
TCGA-W3-AA1V,Altered
TCGA-B5-A3FC,Altered
TCGA-F7-A624,Altered
TCGA-XF-A9SI,Altered
TCGA-AP-A054,Altered
TCGA-BT-A2LA,Altered
TCGA-G4-6588,Altered
TCGA-UF-A7JK,Altered
TCGA-2W-A8YY,Altered
TCGA-04-1346,Altered
TCGA-A5-A1OK,Altered
TCGA-AO-A0JD,Altered
TCGA-AP-A051,Altered
TCGA-BF-A1PU,Altered
TCGA-BF-A5EQ,Altered
TCGA-BG-A0M4,Altered
TCGA-BR-6566,Altered
TCGA-BT-A42E,Altered
TCGA-CG-5721,Altered
TCGA-D3-A2JC,Altered
TCGA-D3-A2JL,Altered
TCGA-D3-A3C7,Altered
TCGA-D3-A3C8,Altered
TCGA-D3-A5GN,Altered
TCGA-D3-A8GL,Altered
TCGA-D3-A8GP,Altered
TCGA-D5-5541,Altered
TCGA-D9-A3Z4,Altered
TCGA-D9-A6EC,Altered
TCGA-D9-A148,Altered
TCGA-DH-A7UT,Altered
TCGA-EE-A2MT,Altered
TCGA-EE-A3AA,Altered
TCGA-EE-A29D,Altered
TCGA-ER-A19N,Altered
TCGA-ER-A198,Altered
TCGA-F1-A448,Altered
TCGA-FR-A726,Altered
TCGA-FS-A1ZB,Altered
TCGA-FS-A4F9,Altered
TCGA-FZ-5919,Altered
TCGA-GN-A8LK,Altered
TCGA-HB-A2OT,Altered
TCGA-HU-A4G8,Altered
TCGA-HU-A4HD,Altered
TCGA-JY-A6FE,Altered
TCGA-M8-A5N4,Altered
TCGA-ND-A4WC,Altered
TCGA-W3-AA1Q,Altered
TCGA-WE-A8K5,Altered
TCGA-WE-A8ZQ,Altered
TCGA-WE-AAA3,Altered
TCGA-X6-A7WA,Altered
TCGA-AG-3574,Altered
TCGA-39-5039,Altered
TCGA-LA-A7SW,Altered
TCGA-44-7672,Altered
TCGA-55-6712,Altered
TCGA-55-8511,Altered
TCGA-44-7659,Altered
TCGA-55-7815,Altered
TCGA-67-3772,Altered
TCGA-55-8085,Altered
TCGA-78-8660,Altered
TCGA-18-4083,Altered
TCGA-AA-A010,Altered
TCGA-34-A5IX,Altered
TCGA-55-1595,Altered
TCGA-MP-A4TF,Altered
TCGA-78-7153,Altered
TCGA-43-2581,Altered
TCGA-49-AARO,Altered
TCGA-69-7980,Altered
TCGA-FI-A2D5,Altered
TCGA-2Y-A9GZ,Altered
TCGA-AA-3984,Altered
TCGA-AG-A002,Altered
TCGA-AZ-4315,Altered
TCGA-55-7574,Altered
TCGA-A6-4105,Altered
TCGA-AA-3851,Altered
TCGA-AP-A056,Altered
TCGA-85-8582,Altered
TCGA-55-8620,Altered
TCGA-D1-A17K,Altered
TCGA-W5-AA2O,Altered
TCGA-CA-5796,Altered
TCGA-69-7764,Altered
TCGA-NC-A5HE,Altered
TCGA-49-AAR9,Altered
TCGA-92-7340,Altered
TCGA-55-8205,Altered
TCGA-21-5783,Altered
TCGA-22-5491,Altered
TCGA-37-A5EL,Altered
TCGA-37-3789,Altered
TCGA-AP-A1DO,Altered
TCGA-77-A5G3,Altered
TCGA-78-7146,Altered
TCGA-93-7348,Altered
TCGA-55-6968,Altered
TCGA-55-7907,Altered
TCGA-67-6216,Altered
TCGA-2Y-A9GY,Altered
TCGA-5C-AAPD,Altered
TCGA-55-7728,Altered
TCGA-A2-A3Y0,Altered
TCGA-A7-A4SD,Altered
TCGA-AC-A6IW,Altered
TCGA-AR-A5QQ,Altered
TCGA-66-2786,Altered
TCGA-BH-A0DL,Altered
TCGA-BS-A0UF,Altered
TCGA-CC-A1HT,Altered
TCGA-CC-A7IJ,Altered
TCGA-DD-A1EC,Altered
TCGA-DD-A4NR,Altered
TCGA-DD-A114,Altered
TCGA-DM-A28C,Altered
TCGA-E2-A1II,Altered
TCGA-E2-A1LA,Altered
TCGA-ED-A5KG,Altered
TCGA-EP-A3RK,Altered
TCGA-GJ-A3OU,Altered
TCGA-77-8131,Altered
TCGA-S3-AA10,Altered
TCGA-YA-A8S7,Altered
TCGA-ZU-A8S4,Altered
TCGA-AG-A016,Altered
TCGA-4B-A93V,Altered
TCGA-4N-A93T,Altered
TCGA-05-4250,Altered
TCGA-05-4395,Altered
TCGA-05-4396,Altered
TCGA-05-4405,Altered
TCGA-05-4420,Altered
TCGA-05-4427,Altered
TCGA-5R-AA1C,Altered
TCGA-6A-AB49,Altered
TCGA-18-3406,Altered
TCGA-18-3407,Altered
TCGA-18-3408,Altered
TCGA-18-3410,Altered
TCGA-18-3412,Altered
TCGA-18-3414,Altered
TCGA-18-3415,Altered
TCGA-18-3417,Altered
TCGA-18-3419,Altered
TCGA-18-3421,Altered
TCGA-18-4086,Altered
TCGA-18-4721,Altered
TCGA-18-5592,Altered
TCGA-21-1071,Altered
TCGA-21-1072,Altered
TCGA-21-1075,Altered
TCGA-21-1080,Altered
TCGA-21-1081,Altered
TCGA-21-1082,Altered
TCGA-21-5782,Altered
TCGA-21-5784,Altered
TCGA-21-5786,Altered
TCGA-21-5787,Altered
TCGA-22-A5C4,Altered
TCGA-22-0944,Altered
TCGA-22-1002,Altered
TCGA-22-1011,Altered
TCGA-22-1012,Altered
TCGA-22-1017,Altered
TCGA-22-4591,Altered
TCGA-22-4593,Altered
TCGA-22-4595,Altered
TCGA-22-4599,Altered
TCGA-22-4601,Altered
TCGA-22-4607,Altered
TCGA-22-4613,Altered
TCGA-22-5472,Altered
TCGA-22-5473,Altered
TCGA-22-5477,Altered
TCGA-22-5478,Altered
TCGA-22-5479,Altered
TCGA-22-5480,Altered
TCGA-22-5481,Altered
TCGA-22-5482,Altered
TCGA-22-5483,Altered
TCGA-22-5485,Altered
TCGA-33-A4WN,Altered
TCGA-33-A5GW,Altered
TCGA-33-AAS8,Altered
TCGA-33-AASB,Altered
TCGA-33-AASD,Altered
TCGA-33-AASI,Altered
TCGA-33-AASJ,Altered
TCGA-33-AASL,Altered
TCGA-33-4538,Altered
TCGA-33-4547,Altered
TCGA-33-4566,Altered
TCGA-33-4582,Altered
TCGA-33-4583,Altered
TCGA-33-4586,Altered
TCGA-33-4589,Altered
TCGA-33-6738,Altered
TCGA-34-2596,Altered
TCGA-34-2600,Altered
TCGA-34-5231,Altered
TCGA-34-5236,Altered
TCGA-34-5239,Altered
TCGA-34-5240,Altered
TCGA-34-5241,Altered
TCGA-34-5929,Altered
TCGA-34-7107,Altered
TCGA-34-8455,Altered
TCGA-34-8456,Altered
TCGA-35-3615,Altered
