,Hugo,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
201,ACTB,233890.72,0.2385277456567684,0.0134636338874251,17.716446217358182,3.130765291852192e-70,1.4259340173784958e-69
5524,EMD,2882.855,-0.1764796972237936,0.0117368744676461,-15.0363452987657,4.243392281363469e-51,1.4813309920486776e-50
8594,ITGA10,253.27022,0.8068733623919311,0.0408057691174385,19.77351192841772,5.034629998554925e-87,2.832274996976505e-86
8595,ITGA11,1328.6896,0.5214795621915371,0.0397070546013254,13.133171609614426,2.125637497178209e-39,6.085762031367058e-39
8596,ITGA1,2086.7925,0.1555381490229589,0.0308158136501603,5.047348442222608,4.479838859008415e-07,6.393175335101102e-07
8597,ITGA2B,73.84057,0.9059582641016574,0.0439134019360838,20.6305643416168,1.4593706928013398e-94,8.943807325328862e-94
8598,ITGA2,2674.0305,0.0013046490313967,0.0351462376557051,0.0371205886723111,0.9703888559538456,0.9725863593937056
8599,ITGA3,13166.841,0.1740694119788638,0.0346485773111323,5.023854527006411,5.064460403583845e-07,7.216864937115105e-07
8600,ITGA4,1181.2261,2.2155071590328763,0.0316018939605603,70.10678416293229,0.0,0.0
8601,ITGA5,6351.883,0.4913308307122589,0.027947559647478,17.580455571425755,3.47770809466023e-69,1.565045515012989e-68
8602,ITGA6,10174.989,-0.3271256688351542,0.0301347780243479,-10.855419892950488,1.879410184925846e-27,4.3490465963747775e-27
8603,ITGA7,1662.0345,0.0121304642211525,0.0364656747852764,0.332654319235316,0.7393952353912209,0.7601549056875153
8604,ITGA8,230.19702,0.0132667309423249,0.050901513900192,0.2606352920728135,0.7943737709247535,0.81183954632082
8605,ITGA9,577.3119,0.2158380080084603,0.0361155356181599,5.976320281954523,2.2823407826751004e-09,3.495011357238239e-09
8606,ITGAD,30.931953,2.0046232152796293,0.049357810463041,40.6141033500804,0.0,0.0
8607,ITGAE,632.2127,0.4756283052671884,0.0161803905112322,29.395353896867544,6.2963516488093565e-190,8.15441623524871e-189
8608,ITGAL,1399.5502,2.3352957801879644,0.0289913465313487,80.5514768920021,0.0,0.0
8609,ITGAM,833.53314,1.8540259826161871,0.027877629347999,66.5058696158201,0.0,0.0
8610,ITGAV,8079.182,0.0556934531778777,0.0223168885992715,2.495574279099805,0.012575342364152,0.0151572668990451
8611,ITGAX,1140.9297,1.8219673378177847,0.0258293744199468,70.53857782985108,0.0,0.0
8615,ITGB1,23310.725,0.0383233123622016,0.0179468301777406,2.135380564849492,0.0327299368973055,0.0384639104878921
8616,ITGB2,4903.7603,2.0878187139497597,0.0241579690887154,86.42360234350213,0.0,0.0
8618,ITGB3,1107.8042,0.517421631107635,0.0440146979082312,11.755655626364568,6.604610030367229e-32,1.6588114434770098e-31
8619,ITGB4,12088.66,-0.1861517381117368,0.0387281332817616,-4.806628214105059,1.5349705699601186e-06,2.152532431038577e-06
8620,ITGB5,7625.4683,0.0785641464133218,0.0209970646394224,3.741672836774332,0.0001827993922488,0.0002387792138326
8621,ITGB6,2860.9648,0.1537328259962478,0.057907290471587,2.6548095195660872,0.0079353202950021,0.009666438454254
8622,ITGB7,640.1314,1.290311500159408,0.028044666721023,46.00915792635021,0.0,0.0
8623,ITGB8,3900.2178,-0.2337358302592916,0.040754109667559,-5.735270189090875,9.735701808958524e-09,1.4636623329536745e-08
9610,LMNB1,2471.7854,0.2706564881934313,0.0270328034791073,10.012150179044925,1.3479061809176502e-23,2.886506988251019e-23
9611,LMNB2,4642.2944,0.0699721392796798,0.0208245518058182,3.3600790034832797,0.0007792018697606,0.0009913617589336
13521,PLCB2,1011.5333,2.0942455302496885,0.0254696871741686,82.2250197235903,0.0,0.0
14412,PXN,7312.8354,0.1292976127447347,0.0151676258435379,8.52457820877886,1.5336765524451505e-17,2.878595089078162e-17
14601,RAP1A,2791.7554,0.2355132229950747,0.0130836660456215,18.000552916427342,1.9288374164196041e-72,9.048202986379428e-72
14602,RAP1B,4811.0806,0.2374317064725734,0.0139966532691298,16.963462758360773,1.5305283414673733e-64,6.491672188319635e-64
17463,SUN1,5445.868,-0.2139421013475203,0.0122380777404326,-17.481675299437693,1.9760705791370167e-68,8.818680605140404e-68
17464,SUN2,7713.8096,0.1255935325339282,0.0165121226705491,7.606140957148738,2.8240128303936183e-14,4.9253899780676496e-14
17465,SUN3,5.3901515,0.3133631071147748,0.0762109271725212,4.1117870985272775,3.926082631594125e-05,5.2524061175334994e-05
17466,SUN5,0.02298417,-0.2623896083892835,0.9115302533935452,-0.2878561708867375,0.7734568380277725,0.7921327916599136
17519,SYNE1,3123.5625,0.2299702367951831,0.0301535643648266,7.62663524659253,2.409601158917469e-14,4.2109072956567186e-14
17520,SYNE2,6792.056,-0.0944563754255408,0.0214022969074267,-4.413375621976527,1.0177119650928011e-05,1.3880617603888484e-05
17672,TAZ,1036.6992,0.1120964785129366,0.0145028869868973,7.729252707699552,1.08179735913213e-14,1.909015552966199e-14
18037,TLN1,19043.738,0.4107012354902184,0.0158239642793019,25.954383379607588,1.6225103780439893e-148,1.6137122025694962e-147
18038,TLN2,1954.1958,-0.2130419160938604,0.0268675129591527,-7.929350082300223,2.202957210135581e-15,3.953632390792515e-15
19669,YAP1,6025.6074,-0.2425764956936487,0.0242512629843913,-10.002633506130218,1.4839720992829644e-23,3.174883140952277e-23
20496,ZYX,10635.733,0.4316178760554895,0.0176458960056898,24.459958050093643,3.943091644576235e-132,3.4483420443267856e-131
