,Hugo,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
201,ACTB,233544.03,-0.1556617375006521,0.0502865068345302,-3.0954971283422674,0.0019648327550006,0.0057509143268888
5524,EMD,2878.2363,0.0091943556315317,0.0449647541542546,0.2044791705074133,0.8379790676506464,0.905109864624092
8594,ITGA10,258.79666,0.7383380647379969,0.1556589578303628,4.743305974993343,2.102583219636544e-06,1.280864505343519e-05
8595,ITGA11,1306.4672,0.0877408442247828,0.1496047922007263,0.5864841823185715,0.5575501880236002,0.6676370002336477
8596,ITGA1,2029.0973,0.4343300602551723,0.1158215490154536,3.749993537016338,0.0001768391280971,0.0006923591940248
8597,ITGA2B,76.01473,0.1930263079486159,0.1672293384826391,1.1542610268033495,0.2483931695375768,0.3511830929594116
8598,ITGA2,2612.366,0.1000517947567995,0.1325265501429794,0.7549566079314394,0.4502750184542891,0.5664328411215318
8599,ITGA3,12985.26,0.0043702105347707,0.1299393119096509,0.033632704918504,0.9731700422601314,0.9920769561050532
8600,ITGA4,1200.4316,0.7864999966615225,0.1404938102867988,5.598111369148509,2.1669953463774232e-08,1.8975422906192674e-07
8601,ITGA5,6298.941,0.2557723561960278,0.1066339670648332,2.398601151549756,0.0164578302251381,0.0358818767994847
8602,ITGA6,9968.539,-0.1840479814505675,0.113693716682966,-1.6188052147488834,0.1054891797805068,0.1731141553402659
8603,ITGA7,1694.1782,0.6135978705739731,0.137527161517738,4.461648621278584,8.13315091942132e-06,4.366177520740229e-05
8604,ITGA8,226.37923,1.3350988175478042,0.1919269599254575,6.9562859645478845,3.493603675472525e-12,5.0194973344350835e-11
8605,ITGA9,573.7452,0.6433543184593629,0.1364725410440533,4.714166773312209,2.4270182628036697e-06,1.4584316650655229e-05
8606,ITGAD,28.813108,0.9403101946208646,0.1962652730297545,4.79101666894637,1.6593833858249086e-06,1.032815235463446e-05
8607,ITGAE,638.2998,-0.2174298266579515,0.0632016463033978,-3.4402557429308938,0.0005811647480892,0.0019789150537461
8608,ITGAL,1420.9138,0.1656058235697639,0.134339626154631,1.2327399465824334,0.2176728030326629,0.3149904468648791
8609,ITGAM,834.06116,0.4509223233422344,0.1218139139515104,3.701730850892204,0.0002141337035599,0.0008202348204661
8610,ITGAV,7907.828,0.3569453010052196,0.0836731619982877,4.265947317881017,1.990557514069852e-05,9.767597114713937e-05
8611,ITGAX,1153.5889,0.0138394114566123,0.115540567422434,0.1197796736276473,0.9046576840971552,0.954791383646137
8615,ITGB1,22976.303,-0.0484660156307502,0.0674575136793082,-0.7184672690600005,0.4724692224052027,0.5880484521917235
8616,ITGB2,4947.66,0.1348905109760659,0.1155767006486903,1.1671081646990626,0.2431666910382,0.3450888613991574
8618,ITGB3,1089.9924,1.045946768897516,0.1668879785882207,6.267358366645954,3.6722437026694977e-10,4.158131787689005e-09
8619,ITGB4,12039.232,-0.4233106005193869,0.1456611298671913,-2.9061328914951208,0.0036592600267976,0.0098580299944994
8620,ITGB5,7554.544,0.092966664229932,0.0797803993408483,1.1652820115972056,0.2439048580547574,0.345942525089648
8621,ITGB6,2810.2827,-0.2879925240096041,0.2195552134842388,-1.3117088837896262,0.189618378156317,0.2808614449533981
8622,ITGB7,635.7159,-0.0648704898367006,0.1139508113850504,-0.5692850191079131,0.5691627316876603,0.6780330049402619
8623,ITGB8,3866.9358,0.6039750759345189,0.152757978628236,3.953803797079567,7.691849153800967e-05,0.0003303762804266
9610,LMNB1,2485.496,-0.4231353545594531,0.1012145881393279,-4.180576756158727,2.907706384577776e-05,0.0001380550239823
9611,LMNB2,4647.3613,-0.3460577410735152,0.0775740475021908,-4.460998906415731,8.157850666157874e-06,4.3775878152954176e-05
13521,PLCB2,1043.5188,0.3988667892033917,0.119682583544225,3.3327053727579576,0.0008600596757391,0.002782007457638
14412,PXN,7265.1416,-0.1245499196356859,0.0570653701203027,-2.18258322644916,0.0290665161374111,0.0581873355006443
14601,RAP1A,2783.851,0.1175590745968569,0.049944667157727,2.353786325687209,0.0185832898282165,0.0398333541390461
14602,RAP1B,4803.8237,0.0774758414731876,0.0533336195120167,1.45266423284344,0.1463170023214709,0.2267367826353194
17463,SUN1,5414.794,-0.0510868002041416,0.0463345635691949,-1.102563535056283,0.2702167530764326,0.3765721730360115
17464,SUN2,7679.258,0.1061803378563424,0.0621488146862817,1.7084853249788516,0.0875463270649465,0.1477650781032416
17465,SUN3,5.4759965,0.5580665529171251,0.2878278288770028,1.938890186867939,0.0525147111188927,0.0962761822304851
17466,SUN5,0.024434943,-0.0996818261974113,3.352843959796564,-0.0297305294826364,0.9762819636721508,0.9926015066999174
17519,SYNE1,3132.2383,0.5812229186024452,0.1133197776634746,5.129050996980427,2.912064546261581e-07,2.084624546319955e-06
17520,SYNE2,6721.9297,0.0494760785269889,0.0806515235209417,0.6134549772533691,0.5395755437827947,0.6508549970341925
17672,TAZ,1041.5432,0.0851374512179181,0.0545099900093927,1.561868773104671,0.118318906192631,0.1900027300185972
18037,TLN1,19040.05,0.1363652896515957,0.0615200365621054,2.2165996197666904,0.0266504635874383,0.0540792174002449
18038,TLN2,1945.6411,0.2023870106693259,0.1011427251780358,2.001004128701055,0.0453919449589818,0.0850169832033036
19669,YAP1,5926.4243,0.0464460968287497,0.091869274833704,0.5055672520853521,0.6131604757598775,0.7183412432958538
20496,ZYX,10681.098,-0.1260542486991154,0.0678440460781971,-1.858000163401592,0.0631689911036268,0.1125997610651994
