Hugo,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,4280.3823,4.209980339517715,0.232423759344876,18.11338200270156,2.4991248906670778e-73,1.9569109095804244e-70
A1CF,218.33199,2.30231785503682,0.4751185435100603,4.845775620601661,1.2611798935348847e-06,8.059121610946867e-06
A2BP1,84.182625,2.7529440437678154,0.3231428169985726,8.519279708389668,1.6054867329583647e-17,3.796295516411074e-16
A2LD1,280.52667,0.16799697462877722,0.08651717386265882,1.9417760327615767,0.05216421954768955,0.09575433646843491
A2ML1,1838.7552,0.1339718570341608,0.3257153477175146,0.41131576381949153,0.6808410120379114,0.7774548300005518
A2M,42350.34,0.43902653096773514,0.1253581422512992,3.502178024365107,0.00046147116534841386,0.0016170553279394764
A4GALT,1451.8783,-0.04164873663429265,0.12028555890222063,-0.34624885160278174,0.7291557043184607,0.8177083961730294
A4GNT,19.598877,2.30224280293693,0.27332034741477895,8.423239706494106,3.662141448197845e-17,8.377251431894374e-16
AAA1,1.9170419,-0.6716087067021802,0.36619184558573586,-1.8340351233870869,0.06664878057653584,0.11770493786933493
AAAS,1855.649,-0.07786891861055684,0.03935374108154457,-1.9786916432977817,0.04785073441087042,0.08895928242817194
AACSL,27.928543,-0.3771449994290692,0.29393605643748566,-1.2830851852613068,0.1994622334464351,0.29275838877773575
AACS,1896.5226,-0.06195195092133728,0.06349097026951736,-0.9757600278961405,0.3291833973479392,0.4411720615237111
AADACL2,8.20516,0.9008462515008375,0.48916788253848426,1.8415891223806282,0.06553527335648904,0.11610099462798122
AADACL3,1.7052866,0.9174985515061347,0.5537546168584553,1.656868446011811,0.0975460750733552,0.1621308304692986
AADACL4,0.9207831,-0.31351616357104906,0.3640583009035118,-0.86117021035634,0.3891443044768089,0.5044949627383694
AADAC,795.4584,2.713561613744691,0.35425990059935514,7.659804593050887,1.8621619700368315e-14,3.400157448249314e-13
AADAT,331.32904,0.23085621445535776,0.11503138852582151,2.0068975730353515,0.044760570333363815,0.08401995679669501
AAGAB,2371.713,-0.08853493223481583,0.04367895970318464,-2.026946906163627,0.04266784278212093,0.08064190597857407
AAK1,2548.198,0.23989260199042264,0.06489717378202735,3.696503068009698,0.00021858961886158998,0.0008360447210977101
AAMP,5587.997,-0.1083490481085678,0.037473229830830554,-2.891372016708984,0.003835637832946152,0.010264162807695938
AANAT,3.176829,0.04070384868806961,0.15971154385017183,0.25485852623311056,0.7988323699529968,0.8745189127210335
AARS2,1237.0317,-0.11955550289811542,0.05148453665166939,-2.322163326573103,0.02022414286898514,0.04282301868639298
AARSD1,1356.392,0.020404516391870298,0.0542831988559821,0.3758900879442495,0.7069986097342628,0.7989289532425456
AARS,7819.8486,0.02918966254038555,0.050755058639769375,0.575108438895859,0.5652179609803758,0.6745177296365458
AASDHPPT,1916.6439,0.0874609934629191,0.051250433394278795,1.7065415386844824,0.08790729926134568,0.14828225220435803
AASDH,542.0526,0.1287317028875503,0.048144136337543046,2.67388123830907,0.0074978998950227,0.018323099743460226
AASS,1044.1136,0.7713262145692514,0.11389671532344216,6.77215503870196,1.2687806323141886e-11,1.7152128083190281e-10
AATF,3062.6018,-0.15691070087669162,0.04624975106307045,-3.3926820635794046,0.0006921192021441964,0.0023043098669589036
AATK,620.4,0.2201299672252934,0.14870523528002988,1.480310809574136,0.13879031980257248,0.21710547315791967
ABAT,4295.968,1.3602747088051501,0.16284830060321784,8.353017524692985,6.654077318589895e-17,1.4936092627251562e-15
ABCA10,74.83392,-0.08736703366032254,0.14920302254800483,-0.5855580682503462,0.5581725336794211,0.6682158661484625
ABCA11P,206.85326,0.07659667654088999,0.0629626119950458,1.2165422321887946,0.2237784334027193,0.3223805748499349
ABCA12,460.10373,-0.026353031532071896,0.23282709602441032,-0.11318713320767856,0.9098821963242317,0.9580208747913237
ABCA13,380.08447,0.3507474087991466,0.22785677538606008,1.5393328032702633,0.12372306957955123,0.19731145022482247
ABCA17P,50.00094,0.918881830683649,0.16136323896398788,5.694492974875893,1.237390806489168e-08,1.1241427679300745e-07
ABCA1,2652.5234,0.4205402213884766,0.09026170102651217,4.659121383774423,3.1756191090660613e-06,1.862109142899653e-05
ABCA2,4487.6646,0.43721339359195416,0.09611805945836673,4.548712240505979,5.397518918314194e-06,2.999947793010065e-05
ABCA3,3904.0784,0.6731200386746934,0.14530143432470266,4.63257669687199,3.611424762791487e-06,2.0911546287164925e-05
ABCA4,218.0179,0.1252234633585894,0.20857228193680086,0.6003840116997575,0.5482503406952335,0.6593318380420733
ABCA5,921.3365,0.30341693463003316,0.09359996248715703,3.2416352161643798,0.0011884603953569352,0.00370080532105718
ABCA6,414.44244,1.2494928267965157,0.18575110138689394,6.726704808032307,1.7354831263699894e-11,2.2988094319952252e-10
ABCA7,1119.9856,0.2056048196009582,0.09272136198871676,2.2174482254259615,0.026592477342287674,0.053972310458741374
ABCA8,674.7282,0.8898933199563478,0.18714281268133304,4.755156274538093,1.982929687703309e-06,1.2152801243499776e-05
ABCA9,206.83383,0.6234205003809532,0.16180465454743687,3.8529206846653645,0.00011671720690161861,0.00048004961925455624
ABCB10,1015.3851,0.11589024108444959,0.057019084726277695,2.0324816092854725,0.0421049237220035,0.07971860337173527
ABCB11,68.57845,3.2129721891744008,0.35597342594232445,9.025876526229723,1.7826249125174334e-19,4.8584284596977814e-18
ABCB1,1101.6709,1.2406278187752855,0.17139411528878154,7.238450495718331,4.5383980203410856e-13,7.157029070187774e-12
ABCB4,446.3408,2.4824075909067598,0.20249189768157155,12.259293430152288,1.4980035139990227e-34,1.0098627000498709e-32
ABCB5,223.0432,3.1498002647437557,0.3272038413099113,9.626415912887833,6.184916743021604e-22,1.9613507783672403e-20
ABCB6,1784.1841,-0.03627037840014126,0.0785175777976811,-0.46193959897235204,0.6441246357831327,0.7446330963550507
ABCB7,939.365,0.13940636864233472,0.04043377676210413,3.447770151735887,0.0005652348258774729,0.001931780396179196
ABCB8,1877.3074,0.08718495104515056,0.05332037955280868,1.6351149743561426,0.10202494763626094,0.16844213291304166
ABCB9,406.1292,-0.08989434633427583,0.07439329114155808,-1.2083663050102436,0.22690639456514483,0.32608084188266984
ABCC10,1291.686,-0.15384112749708184,0.05385575752058939,-2.856540035450572,0.004282859877983085,0.011265470834090132
ABCC11,326.9866,3.090665606113458,0.25179905403420433,12.27433366645461,1.2441183726314568e-34,8.414952142326854e-33
ABCC12,12.342008,2.157121500796113,0.38442602714243773,5.611278499613283,2.0083723918321305e-08,1.7649972590318973e-07
ABCC13,16.987646,0.7951541823107104,0.3164610255290491,2.5126449014737218,0.011982988324875477,0.02743916986909682
ABCC1,4400.577,0.04870498577333766,0.08894414586039982,0.5475906851675366,0.5839729867892173,0.6917330030223672
ABCC2,613.68335,2.3249639077361977,0.22546421499297092,10.31189764552517,6.225964452087211e-25,2.4329061474096646e-23
ABCC3,3820.292,0.09762105456565084,0.15987660276568605,0.6106025076647615,0.5414627621581699,0.6525567024671864
ABCC4,2538.0173,1.3232751080253065,0.1478735783724305,8.948692001572725,3.59719321312171e-19,9.573236160254235e-18
ABCC5,3266.409,0.26811887864044215,0.10302598866962809,2.602439268990808,0.009256320767718334,0.021953568791935874
ABCC6P1,100.96809,1.7823983286971048,0.23470708052186198,7.594139574886331,3.0984428731072605e-14,5.528588821524165e-13
ABCC6P2,115.37199,1.0042666168121333,0.1671840264660848,6.0069531643674114,1.8904209553140556e-09,1.9626252029188607e-08
ABCC6,796.92,1.820879447368706,0.19058249465912158,9.55428488133475,1.244403441592068e-21,3.8502750254366134e-20
ABCC8,245.2612,2.015741164930795,0.28389611052131575,7.100277496684645,1.2450663719613704e-12,1.8776523160564104e-11
ABCC9,669.4824,0.6908236849253958,0.137999639091595,5.0059818233790665,5.557800187972738e-07,3.7817932495634018e-06
ABCD1,1488.1035,0.052011928385663105,0.08798799926351039,0.5911252536825558,0.5544365002591973,0.6649253480665056
ABCD2,80.59882,0.9734589119040936,0.1642645366999095,5.926165997000799,3.100891387572766e-09,3.103787992113764e-08
ABCD3,3081.7556,0.04805865873797112,0.06654765976862645,0.7221690275069316,0.4701905631638701,0.5858031745580583
ABCD4,1494.5895,0.09154412861785793,0.052082304233749134,1.7576819989953072,0.07880163239980699,0.13531734430057948
ABCE1,3173.6414,-0.06368360028357756,0.047314160562713745,-1.3459733730067243,0.17831110396532568,0.2668898519063421
ABCF1,4336.36,-0.11159249982440753,0.0429372309796752,-2.598968244534237,0.009350442275856838,0.022145841588432916
ABCF2,3153.8364,-0.0748124673513394,0.03975448538996248,-1.8818623010078914,0.05985471419328125,0.10756307937690997
ABCF3,2960.6816,0.0942107872766829,0.04707532306672139,2.0012775513649665,0.04536248755923524,0.08500090973018594
ABCG1,1853.256,0.1754954923761274,0.08533663266123555,2.056508288448635,0.03973354819197355,0.07589223263349185
ABCG2,561.77167,0.550369478933794,0.15074054497783412,3.6511044789888745,0.00026111498320639413,0.0009782922236104118
ABCG4,42.232876,0.560204114544264,0.16555351789291747,3.383824890429768,0.0007148357815226658,0.002370251087299667
ABCG5,130.11815,3.1685163312944162,0.25876988527284933,12.244532735922899,1.7970909133702125e-34,1.2035188784639525e-32
ABCG8,167.04398,4.177199057137484,0.4047211024854814,10.321179279964364,5.652458038824846e-25,2.2130460233160583e-23
ABHD10,1673.638,0.2298736826677834,0.05214368773942462,4.408466156373925,1.0410528420565848e-05,5.486615276062648e-05
ABHD11,2147.3875,-0.2605822010926923,0.09098597939762758,-2.863981932357887,0.004183518733931381,0.011051285572091472
ABHD12B,56.444218,1.3936615087185011,0.22550504953362482,6.180178721499954,6.402907411911736e-10,7.0084296773715614e-09
ABHD12,4342.042,-0.06317467132390907,0.058859832520651134,-1.0733070180202102,0.2831333874230495,0.39069490541858914
ABHD13,979.1655,0.02470183594068586,0.04627203420122728,0.533839420874881,0.5934526373612048,0.7002087652296012
ABHD14A,996.8157,0.06868488125507083,0.08524231003756287,0.8057604401476702,0.42038099225103664,0.5368209635099326
ABHD14B,4129.3755,0.24693282563912788,0.07543001195119171,3.2736681229602618,0.0010616121630597929,0.003351428442818161
