Hugo,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,4659.227,-5.632959949213532,0.05799945407370199,-97.12091327714099,0.0,0.0
A1CF,232.27701,-0.9734168618362096,0.12923123329496078,-7.532365334736512,4.9829306007360987e-14,7.237460519396891e-14
A2BP1,78.09943,0.4839149387136526,0.08797325862428292,5.500704944673715,3.782757722466219e-08,4.971477920837244e-08
A2LD1,281.77466,-0.28649427344693734,0.02351629348881975,-12.18279885744512,3.8387817334251237e-34,7.156937482674185e-34
A2ML1,1954.2914,3.359009150917028,0.08551606559991398,39.27927609102267,0.0,0.0
A2M,42912.96,-1.3881346353049968,0.03268425903336962,-42.471044972681014,0.0,0.0
A4GALT,1458.4003,0.13191548067097386,0.03282391582167764,4.018883103028614,5.847467135883002e-05,7.178520466681262e-05
A4GNT,17.735188,1.5866914153577645,0.07037373997511576,22.54664049287164,1.4487435558730863e-112,5.380330181324364e-112
AAA1,1.8696795,1.5195626732757115,0.0973006189551602,15.617194315855105,5.5598893714228175e-55,1.2744177855527712e-54
AAAS,1850.0806,-0.11994150280849658,0.010667138869153627,-11.244018127047521,2.4783902080220279e-29,4.383419880559505e-29
AACSL,22.555626,-1.068511187035584,0.07777917014589873,-13.737755044586653,6.031722716241413e-43,1.2325588957137301e-42
AACS,1911.6604,0.2899713771581356,0.0171792297625524,16.879183826403004,6.40238449990182e-64,1.5926948440066121e-63
AADACL2,8.452083,2.6517561080394696,0.12771110926470214,20.763707427701313,9.217387965840935e-96,2.9881656305184013e-95
AADACL3,1.4332627,0.9525835042901555,0.14514948310213566,6.562775725628055,5.281525535876675e-11,7.313240725356269e-11
AADACL4,0.8642916,-1.779375509433055,0.103332018889071,-17.219982040061083,1.8804652202094586e-66,4.784950808429492e-66
AADAC,883.3854,-2.225697585794924,0.0967296452445865,-23.009467058078407,3.747510188753149e-117,1.4425328026626082e-116
AADAT,331.4638,-0.2714965703019306,0.03142640596064917,-8.639122483235509,5.664642054411397e-18,8.719676968528778e-18
AAGAB,2390.369,0.07378808012223698,0.012119655710472677,6.088298371254573,1.1411705152920516e-09,1.5412691071268994e-09
AAK1,2561.9766,-0.08199134290940352,0.0177895599887606,-4.608958454352185,4.046911819558556e-06,5.1003514754483495e-06
AAMP,5599.5845,0.01655813173222549,0.010178416207784402,1.626788627444996,0.10378199781479493,0.11419216848680808
AANAT,3.0433025,-0.1618184283836496,0.04304705632679702,-3.7591055507996907,0.00017052189169755488,0.00020663384281117313
AARS2,1233.1384,-0.1733105401168634,0.013939293465005867,-12.43323706125807,1.7250468406178472e-35,3.2685182529677754e-35
AARSD1,1354.2092,-0.329189340301044,0.014485106573388664,-22.726055803125035,2.476048748241666e-114,9.295570065545286e-114
AARS,7866.0757,0.06599537282661698,0.013887419994973015,4.752169434675848,2.012456179636429e-06,2.5527473745307198e-06
AASDHPPT,1927.3059,0.07258693905116599,0.014075484140382998,5.15697636594338,2.5096946593473966e-07,3.247417921040654e-07
AASDH,543.6966,-0.06630479495930616,0.013191743102178759,-5.026234550334383,5.002040511774729e-07,6.433135993633715e-07
AASS,1043.0098,-0.48722016703479465,0.031084182504490555,-15.674215236781881,2.2701147681230043e-55,5.2240608753494114e-55
AATF,3039.1123,0.1842569909438987,0.011979560876222154,15.380947001957683,2.1971047061023806e-53,4.966783778762865e-53
AATK,613.0659,0.6958143535987953,0.040703683123421305,17.094628795358737,1.627288846228599e-65,4.108889200095256e-65
ABAT,4255.6025,0.06371469167648632,0.04454505621480225,1.4303426034360696,0.15261871285438922,0.16640768932104275
ABCA10,71.86683,-0.25598893722733135,0.040512608666968056,-6.318747314735421,2.6369203099326307e-10,3.603266030600606e-10
ABCA11P,206.48688,-0.12669203053419875,0.01726345999191084,-7.338739197910673,2.156152908360948e-13,3.1009548644617506e-13
ABCA12,475.5942,1.457194952983976,0.06268195805602544,23.247438308827686,1.509991401170349e-119,5.93129749882831e-119
ABCA13,381.97485,2.095230904921854,0.06014098049630406,34.83865556615951,6.323878948816435e-266,6.555389588541436e-265
ABCA17P,49.564556,0.28782956154516715,0.044064345969000364,6.532028451021549,6.488482559380294e-11,8.968634423682762e-11
ABCA1,2672.5444,0.06101277363523265,0.0247823341575811,2.4619462092342252,0.013818538966361489,0.015813143432980358
ABCA2,4499.056,-0.09496543524145357,0.026431359963369615,-3.5929076435364338,0.00032700851501571616,0.0003929622451425431
ABCA3,3913.678,-0.7032308819117439,0.03945234097207011,-17.82482013956001,4.535470720725447e-71,1.1987232039886975e-70
ABCA4,196.04997,-0.20748023418345732,0.055906990769844,-3.7111679832242253,0.00020630513476777872,0.0002493124140047015
ABCA5,927.739,-0.5049927511494172,0.02524723786244239,-20.001900956486047,5.301286756977169e-89,1.6242121457531705e-88
ABCA6,423.07233,-1.979729597343974,0.049447316014806265,-40.037149776767926,0.0,0.0
ABCA7,1106.3695,-0.2623685570542259,0.025241224731876025,-10.394446380523378,2.628086630178655e-25,4.441003959479352e-25
ABCA8,659.08734,-1.1219356820253872,0.05053401024282807,-22.201596046587564,3.314701317673328e-109,1.202280493969558e-108
ABCA9,201.73453,-1.4195709793461642,0.0431607316402519,-32.89033631724319,3.021226847927466e-237,2.619640434282593e-236
ABCB10,1026.6317,0.11726324428232314,0.015643026105122908,7.496199488148959,6.569478486065148e-14,9.520786766642965e-14
ABCB11,76.64227,-3.5619232083272023,0.0944695428718534,-37.70446114213658,0.0,0.0
ABCB1,1122.168,-0.5755365037821828,0.04708094935119517,-12.224403112372086,2.3026680422637254e-34,4.30526390600121e-34
ABCB4,484.56448,-3.5595809299845054,0.05224649533655791,-68.13052066085274,0.0,0.0
ABCB5,224.39644,-5.338576052777167,0.08393385631064815,-63.60456063186861,0.0,0.0
ABCB6,1792.1416,-0.00687126854367694,0.021630169627801406,-0.31767058057858466,0.750734829398835,0.774354564379921
ABCB7,947.33234,0.0230251765230179,0.01114930658802972,2.0651666846921692,0.038907231577915286,0.043690696508261295
ABCB8,1875.0071,-0.22191641643307466,0.01446388158203329,-15.342798209073715,3.9576090875684113e-53,8.92775217881499e-53
ABCB9,405.75717,-0.18446531889473644,0.020377170865823024,-9.052548074969778,1.3967032934485057e-19,2.200377803243684e-19
ABCC10,1285.4509,0.34334956402543554,0.014468596035803225,23.730675953340654,1.7397355091924272e-124,7.066894499530851e-124
ABCC11,365.0096,-5.143472482718266,0.06413466886906823,-80.19800481419392,0.0,0.0
ABCC12,11.970141,-2.6841440183975265,0.10188327933105382,-26.34528487913919,5.812351728254415e-153,2.8946592180903044e-152
ABCC13,20.04159,-0.10521406539998106,0.08850922438298563,-1.188735593758142,0.23454372946849145,0.2528769680797022
ABCC1,4458.2666,0.9159237474306103,0.023107472208181476,39.63755702825499,0.0,0.0
ABCC2,650.6689,-1.587085255442635,0.06143670656203229,-25.832850493705486,3.7923850538608954e-147,1.812847318890678e-146
ABCC3,3911.4556,0.3272596120986961,0.04361970324878844,7.502563926951655,6.258147614869915e-14,9.072175113296539e-14
ABCC4,2645.7349,-1.401765221294618,0.039832666714572425,-35.19134762779502,2.7120066508141946e-271,2.8787144631869757e-270
ABCC5,3284.1663,1.0475418568226902,0.026989999344564416,38.81222238835131,0.0,0.0
ABCC6P1,105.26731,-1.41331916965315,0.06343728764263687,-22.278997450440226,5.906515820110727e-110,2.15271671288282e-109
ABCC6P2,118.76145,-1.1989240713277238,0.044936591350936965,-26.680351919988812,7.957792529213244e-157,4.077842892077836e-156
ABCC6,828.8538,-2.0767374872334474,0.05055085855353786,-41.08214077183274,0.0,0.0
ABCC8,235.1776,0.5024307915130968,0.07736430195027241,6.494349187510863,8.339312083674935e-11,1.1498818470134643e-10
ABCC9,670.9484,-0.7704016923196118,0.037138787908096486,-20.74385664459608,1.3929691229368156e-95,4.5108093484763205e-95
ABCD1,1486.1774,-0.47456027452937366,0.023809823234420987,-19.931280877521143,2.1791308401950069e-88,6.647426547127681e-88
ABCD2,78.137436,-0.47532093976100803,0.044573665990168,-10.663716551065235,1.5046197821635743e-26,2.5802353558851254e-26
ABCD3,3112.6633,-0.17122447288237944,0.018173882667202945,-9.421458035017226,4.448669658768225e-21,7.14390799675519e-21
ABCD4,1490.8821,-0.39635128640215184,0.01388287073272731,-28.54966339690812,2.836105989253709e-179,1.6873255942494523e-178
ABCE1,3191.9502,0.40786111673995434,0.012426213018815586,32.822640020928105,2.7993773577347805e-236,2.4190375053532428e-235
ABCF1,4335.5435,0.1427270089361846,0.011675089593725381,12.224917658267161,2.2881343122756914e-34,4.27848332693064e-34
ABCF2,3157.9497,0.19180493659438874,0.010715096049736925,17.90044024841923,1.1699342301332292e-71,3.111927226454457e-71
ABCF3,2960.6724,0.0432808350371622,0.012805292492621327,3.3799177224652626,0.0007250753205758816,0.0008632636521406067
ABCG1,1879.218,-0.131418167884325,0.023394042626266227,-5.617591195494023,1.9363797752770342e-08,2.557262314794054e-08
ABCG2,564.8239,0.06779144525006517,0.0413617737621295,1.6389878644937237,0.10121578710003924,0.11147096232660927
ABCG4,42.569958,-0.23966197438041922,0.045476098578034634,-5.2700645366306365,1.3637580051166096e-07,1.7748992665197887e-07
ABCG5,133.66518,-3.2208160216283943,0.0682287299561933,-47.20615529112647,0.0,0.0
ABCG8,172.9679,-3.8272099556045927,0.10709645882093677,-35.73610180709723,1.0876511470453563e-279,1.2106883380369825e-278
ABHD10,1687.4,-0.35613877526687815,0.014147682195254526,-25.172941429680666,7.927121471589505e-140,3.593593098198413e-139
ABHD11,2160.7466,-0.16508741667933435,0.024736829140313974,-6.6737501295301005,2.4934802467963015e-11,3.4741831607258353e-11
ABHD12B,54.507435,0.23435247700717338,0.06155239988028208,3.807365390512527,0.0001404551458393447,0.00017074857073763768
ABHD12,4354.6562,-0.2189105896618735,0.01597793542105259,-13.700805760764062,1.0040386395875852e-42,2.047193055920245e-42
ABHD13,985.1737,0.18317805720391298,0.012553739868455371,14.591512897618408,3.180650962066927e-48,6.859626370415314e-48
ABHD14A,991.5356,-0.9037324288079144,0.022283760072609942,-40.55565245107517,0.0,0.0
ABHD14B,4163.295,-0.5990149311879392,0.020034620309331164,-29.89899094363904,2.0281355001185502e-196,1.350255416838246e-195
ABHD15,838.4526,-0.07086923428559266,0.017543472673584817,-4.039635458964767,5.3534342566224485e-05,6.577187135995198e-05
ABHD1,44.13587,-1.3211676526667606,0.03577406057792717,-36.93088319646694,1.4765665917398856e-298,1.7968570975034267e-297
ABHD2,11437.897,0.23598823499877372,0.026206666130009385,9.004893404909007,2.1587542248308123e-19,3.393042327131206e-19
ABHD3,1208.9635,0.41954330535858353,0.02181853671688923,19.228755383665334,2.1267098550083063e-82,6.18361695774266e-82
ABHD4,2422.9207,0.09642184228747996,0.017128364189052375,5.629366658907694,1.8087253659205105e-08,2.3900720273106815e-08
ABHD5,1346.9036,0.07484671522430382,0.015680285789482846,4.773300450589067,1.8123111142848092e-06,2.301880465139711e-06
ABHD6,800.87463,0.02104281676289275,0.02706488823056243,0.777495054981628,0.43686675082081083,0.46198681591319796
ABHD8,878.0944,-0.7569478420402971,0.020061792542744865,-37.73081794298781,0.0,0.0
ABI1,3328.252,0.5989309429953201,0.011319595130348024,52.91098631165493,0.0,0.0
ABI2,3106.8684,-0.12148403684197794,0.01981024233849444,-6.1323851958093005,8.657117928264897e-10,1.1721105533121304e-09
ABI3BP,1505.5033,-1.080870556782425,0.04385633169312639,-24.645712832198186,4.0909942423499825e-134,1.775118324381997e-133
ABI3,599.1899,-0.41086102105324357,0.023540177924879252,-17.45360729066584,3.23163667545675e-68,8.352531557144088e-68
ABL1,5248.287,0.0012466743190315233,0.01435657539164179,0.08683646935447577,0.9308014987469745,0.9391974878817294
