STUDY_ID	SAMPLE_ID	FERMT1	FERMT2	FERMT3
laml_tcga_pan_can_atlas_2018	TCGA-AB-2935-03	1.5602	0.7481	0.2648
laml_tcga_pan_can_atlas_2018	TCGA-AB-2804-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2870-03	-1.6147	-0.1841	0.2893
laml_tcga_pan_can_atlas_2018	TCGA-AB-2908-03	0.6337	0.0494	1.5025
laml_tcga_pan_can_atlas_2018	TCGA-AB-2882-03	-1.0145	2.6874	1.1135
laml_tcga_pan_can_atlas_2018	TCGA-AB-2839-03	-1.6147	-0.3111	-0.4248
laml_tcga_pan_can_atlas_2018	TCGA-AB-2944-03	-1.6147	-0.3141	0.2751
laml_tcga_pan_can_atlas_2018	TCGA-AB-2875-03	-1.3674	-0.611	0.0493
laml_tcga_pan_can_atlas_2018	TCGA-AB-2843-03	-0.6878	-1.0541	-0.1035
laml_tcga_pan_can_atlas_2018	TCGA-AB-2967-03	-1.6147	0.8955	0.4238
laml_tcga_pan_can_atlas_2018	TCGA-AB-2904-03	2.1315	-0.4817	1.7256
laml_tcga_pan_can_atlas_2018	TCGA-AB-2981-03	-0.9332	-1.3776	0.9347
laml_tcga_pan_can_atlas_2018	TCGA-AB-2835-03	-0.7484	0.3323	1.6546
laml_tcga_pan_can_atlas_2018	TCGA-AB-2916-03	-1.2194	-0.7289	1.1185
laml_tcga_pan_can_atlas_2018	TCGA-AB-3000-03	-1.6147	-0.7181	0.0837
laml_tcga_pan_can_atlas_2018	TCGA-AB-2992-03	-0.4843	1.6179	-0.0158
laml_tcga_pan_can_atlas_2018	TCGA-AB-2812-03	0.6368	-1.9991	-1.6932
laml_tcga_pan_can_atlas_2018	TCGA-AB-2972-03	-1.6147	0.6239	-0.8052
laml_tcga_pan_can_atlas_2018	TCGA-AB-2900-03	-1.6147	-0.0856	1.1911
laml_tcga_pan_can_atlas_2018	TCGA-AB-2938-03	0.7345	3.1719	1.5968
laml_tcga_pan_can_atlas_2018	TCGA-AB-2894-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2942-03	-1.6147	-1.9991	-0.1387
laml_tcga_pan_can_atlas_2018	TCGA-AB-2884-03	-1.6147	-1.3275	0.4495
laml_tcga_pan_can_atlas_2018	TCGA-AB-2828-03	-1.3408	-0.6669	-0.672
laml_tcga_pan_can_atlas_2018	TCGA-AB-2998-03	-1.6147	0.149	0.1936
laml_tcga_pan_can_atlas_2018	TCGA-AB-2946-03	-1.6147	0.7237	0.3398
laml_tcga_pan_can_atlas_2018	TCGA-AB-2927-03	-0.4755	1.4595	0.9544
laml_tcga_pan_can_atlas_2018	TCGA-AB-2890-03	-1.6147	-0.7005	0.4877
laml_tcga_pan_can_atlas_2018	TCGA-AB-2827-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2892-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2810-03	1.1692	-1.9991	0.4214
laml_tcga_pan_can_atlas_2018	TCGA-AB-2824-03	-0.2502	1.5994	1.029
laml_tcga_pan_can_atlas_2018	TCGA-AB-2860-03	0.2403	0.3889	0.0478
laml_tcga_pan_can_atlas_2018	TCGA-AB-2847-03	0.0341	-0.8581	-0.1997
laml_tcga_pan_can_atlas_2018	TCGA-AB-2976-03	-1.6147	-0.3291	-0.5681
laml_tcga_pan_can_atlas_2018	TCGA-AB-2986-03	-1.6147	-1.9991	-0.2321
laml_tcga_pan_can_atlas_2018	TCGA-AB-2866-03	1.6314	-1.9991	1.2042
laml_tcga_pan_can_atlas_2018	TCGA-AB-2984-03	-0.7475	-0.2549	-0.8186
laml_tcga_pan_can_atlas_2018	TCGA-AB-2924-03	-1.1915	-1.687	0.6735
laml_tcga_pan_can_atlas_2018	TCGA-AB-2978-03	1.8336	1.3732	-0.1101
laml_tcga_pan_can_atlas_2018	TCGA-AB-2910-03	1.7716	0.226	0.123
