Hugo,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,4230.403,2.603449819061422,0.2168613284260117,12.00513636044456,3.339130813668679e-33,2.4279058655528795e-31
A1CF,216.78943,2.4382032646876226,0.443493488775292,5.497720544715831,3.847319886609975e-08,3.211463123062422e-07
A2BP1,84.426315,2.884759371133348,0.301810608123551,9.558177524205595,1.1984851497458517e-21,3.922823016668134e-20
A2LD1,280.52667,0.22632982143889918,0.0807260035798937,2.8036792533016066,0.005052313882898638,0.013631070546240838
A2ML1,1599.524,1.4743339990734572,0.3003325955289043,4.909004287320409,9.153997722808857e-07,6.08244907436898e-06
A2M,42350.34,-0.03524270666195672,0.11699937329403497,-0.30122132853982997,0.763245726853646,0.8509813665396154
A4GALT,1451.8783,0.0733897322453426,0.11234264019394409,0.6532669351427502,0.5135842048468151,0.6364005372170608
A4GNT,19.14236,1.1281959721776078,0.250626802363119,4.501497691148884,6.747629827821137e-06,3.7969871659649125e-05
AAA1,1.85688,-0.19363668194421996,0.34106605568277376,-0.5677395293899368,0.5702118460110652,0.6876012103998851
AAAS,1855.649,-0.00983256412486064,0.03672951842249998,-0.2677019614511839,0.7889287398854805,0.8712666241024409
AACSL,24.056635,0.6828037499093652,0.26864592898656575,2.541649346726227,0.011033079953497095,0.02666458627412718
AACS,1896.5226,0.1077384581985542,0.05927532577274233,1.8175936917093682,0.06912625651808316,0.12509871103065226
AADACL2,8.196076,1.1244005696854646,0.45678837899936997,2.461534971945982,0.013834390966861756,0.03241131941246703
AADACL3,1.7055658,2.1744962168990325,0.5312416803405792,4.093233451684292,4.253990357826546e-05,0.00020051228588894717
AADACL4,0.9207831,0.36624457676973715,0.3474009257755623,1.0542417984411152,0.29177222777559,0.4081202875495181
AADAC,787.96204,2.6531812030883457,0.32972889510105285,8.046553524753172,8.515815224114384e-16,1.7285491739555807e-14
AADAT,331.32904,-0.0911403323189753,0.10732757385828945,-0.8491790976223214,0.3957816423684627,0.5194171634744751
AAGAB,2371.713,-0.007214307041129279,0.04078974800535033,-0.17686569282514297,0.8596138868989316,0.9230421478573496
AAK1,2548.198,0.2652648887310753,0.060573501930383994,4.379223262276289,1.1910306295565542e-05,6.384463556382803e-05
AAMP,5587.997,-0.0627556202694713,0.03497741534864275,-1.7941754599059148,0.07278516773174727,0.13040862710997472
AANAT,3.176829,0.30900098197661724,0.15035504709194347,2.0551420650858523,0.03986528497479921,0.07907417544835708
AARS2,1237.0317,-0.23886756524864955,0.047984087158884615,-4.978057922779957,6.422543806332582e-07,4.390751153563635e-06
AARSD1,1356.392,-0.0015686972232515602,0.050692449886954906,-0.03094538194050167,0.9753130976825666,0.9989609844551001
AARS,7819.8486,-0.06983657310040402,0.0476356822514509,-1.4660559017872976,0.14263305809470006,0.22775422978431362
AASDHPPT,1916.6439,0.00888497473316016,0.047828157159783745,0.18576870322386332,0.8526261484935997,0.918493875717297
AASDH,542.0526,0.13579139743859195,0.044787792341744855,3.0318841438412756,0.002430324639532108,0.007213730767784544
AASS,1044.1136,0.38745720789051014,0.10645543292320693,3.6396189208117504,0.00027304181869825363,0.0010519359678474868
AATF,3062.6018,-0.18703523337556094,0.04319111886730626,-4.330409544382936,1.4883227527448474e-05,7.789399209031452e-05
AATK,620.4,-0.1974236385511052,0.13874786852020482,-1.4228949291740354,0.15476661644395887,0.24382059461290403
ABAT,4276.7344,1.5476739458989457,0.15158196824029968,10.210145466942684,1.7859688148367858e-24,7.115565381851688e-23
ABCA10,74.83392,0.3860359437092452,0.13944055616235085,2.7684624497609076,0.005632147542461449,0.01496735306317356
ABCA11P,206.85326,0.17159334885161903,0.05875555977715994,2.920461476367766,0.00349513406081366,0.00989202748693897
ABCA12,457.69983,0.6291120981022992,0.21691665861907056,2.900247966695306,0.0037286756023763366,0.010473524639732317
ABCA13,377.69617,0.3904058646868945,0.21268365702536038,1.8356176029093882,0.0664142318825283,0.12123440750438391
ABCA17P,50.00094,0.10651846027788418,0.1501057148004295,0.709622950861691,0.47793798340049887,0.601715379633341
ABCA1,2652.5234,0.4234485585601456,0.08422006916290244,5.027881866744747,4.959272199006113e-07,3.4412345841706016e-06
ABCA2,4487.6646,0.2340828961777453,0.08971561646747607,2.609165554389359,0.009076331939826137,0.022636903339816286
ABCA3,3924.4492,0.5949751879893337,0.1359800027456724,4.375460920545311,1.2117615120308104e-05,6.481937105474322e-05
ABCA4,205.14407,1.0620536873239668,0.192112505892027,5.5282902192784515,3.2336679436424965e-08,2.7362529370165247e-07
ABCA5,921.3365,0.1822422317112583,0.08729041068074134,2.0877692095847356,0.036818658297040306,0.07410620223829456
ABCA6,411.4448,1.1334417230773584,0.1730953858755101,6.548075890899413,5.828310187999879e-11,7.09680425343837e-10
ABCA7,1119.9856,-0.017577953594206473,0.0865113487351028,-0.2031866784094426,0.838989124750457,0.9084095325658851
ABCA8,674.7282,0.4764272903188673,0.17482143577299333,2.7252223859865277,0.006425818965879689,0.016776512993888767
ABCA9,206.90121,0.7201317330805237,0.15114766452403286,4.76442514244751,1.8939281028220314e-06,1.1838649752948645e-05
ABCB10,1015.3851,0.01125533168508614,0.053202797449267154,0.2115552607138551,0.8324540160061203,0.9035041748517222
ABCB11,67.69629,2.0680655707523243,0.33044674867372387,6.258392854681371,3.88964987079468e-10,4.3107992226188835e-09
ABCB1,1103.0707,0.943637530108412,0.15988545211867686,5.901959919455248,3.5920844318011415e-09,3.51423579755115e-08
ABCB4,448.58194,1.2346689306860592,0.18927404144293752,6.523181527025661,6.883147338158626e-11,8.277259105586029e-10
ABCB5,241.84271,-0.3570892609519475,0.3080549337847282,-1.1591739712290567,0.2463852788890234,0.35608418349553683
ABCB6,1784.1841,-0.1312405397466078,0.07325915554379633,-1.7914558087985137,0.07322018001240019,0.13111880067485757
ABCB7,939.365,0.03398781837157667,0.037706690204755366,0.9013736869244043,0.36738966697627684,0.4902783318019153
ABCB8,1877.3074,0.026674447600028472,0.04961477706109919,0.5376311087154468,0.5908317489625459,0.7063681705988885
ABCB9,406.1292,-0.2010775711245946,0.06939347761456484,-2.897643669646423,0.003759774904594849,0.010546329192979681
ABCC10,1291.686,-0.11714632874640288,0.05026444605878777,-2.330600214103466,0.019774450193651816,0.04381363371288227
