0,1
TCGA-D9-A148,Unaltered
TCGA-DH-A7UT,Unaltered
TCGA-EE-A2MT,Unaltered
TCGA-EE-A3AA,Unaltered
TCGA-EE-A29D,Unaltered
TCGA-ER-A19N,Unaltered
TCGA-ER-A198,Unaltered
TCGA-F1-A448,Unaltered
TCGA-FR-A726,Unaltered
TCGA-FS-A1ZB,Unaltered
TCGA-FS-A4F9,Unaltered
TCGA-FZ-5919,Unaltered
TCGA-GN-A8LK,Unaltered
TCGA-HB-A2OT,Unaltered
TCGA-HU-A4G8,Unaltered
TCGA-HU-A4HD,Unaltered
TCGA-JY-A6FE,Unaltered
TCGA-M8-A5N4,Unaltered
TCGA-ND-A4WC,Unaltered
TCGA-W3-AA1Q,Unaltered
TCGA-WE-A8K5,Unaltered
TCGA-WE-A8ZQ,Unaltered
TCGA-WE-AAA3,Unaltered
TCGA-X6-A7WA,Unaltered
TCGA-AG-3574,Unaltered
TCGA-39-5039,Altered
TCGA-LA-A7SW,Altered
TCGA-44-7672,Altered
TCGA-55-6712,Altered
TCGA-55-8511,Altered
TCGA-44-7659,Altered
TCGA-55-7815,Altered
TCGA-67-3772,Altered
TCGA-55-8085,Altered
TCGA-78-8660,Altered
TCGA-18-4083,Altered
TCGA-AA-A010,Altered
TCGA-34-A5IX,Altered
TCGA-55-1595,Altered
TCGA-MP-A4TF,Altered
TCGA-78-7153,Altered
TCGA-43-2581,Altered
TCGA-49-AARO,Altered
TCGA-69-7980,Altered
TCGA-FI-A2D5,Altered
TCGA-2Y-A9GZ,Altered
TCGA-AA-3984,Altered
TCGA-AG-A002,Altered
TCGA-AZ-4315,Altered
TCGA-55-7574,Altered
TCGA-A6-4105,Altered
TCGA-AA-3851,Altered
TCGA-AP-A056,Altered
TCGA-85-8582,Altered
TCGA-55-8620,Altered
TCGA-D1-A17K,Altered
TCGA-W5-AA2O,Altered
TCGA-CA-5796,Altered
TCGA-69-7764,Altered
TCGA-NC-A5HE,Altered
TCGA-49-AAR9,Altered
TCGA-92-7340,Altered
TCGA-55-8205,Altered
TCGA-21-5783,Altered
TCGA-22-5491,Altered
TCGA-37-A5EL,Altered
TCGA-37-3789,Altered
TCGA-AP-A1DO,Altered
TCGA-77-A5G3,Altered
TCGA-78-7146,Altered
TCGA-93-7348,Altered
TCGA-55-6968,Altered
TCGA-55-7907,Altered
TCGA-67-6216,Altered
TCGA-2Y-A9GY,Altered
TCGA-5C-AAPD,Altered
TCGA-55-7728,Altered
TCGA-A2-A3Y0,Altered
TCGA-A7-A4SD,Altered
TCGA-AC-A6IW,Altered
TCGA-AR-A5QQ,Altered
TCGA-66-2786,Altered
TCGA-BH-A0DL,Altered
TCGA-BS-A0UF,Altered
TCGA-CC-A1HT,Altered
TCGA-CC-A7IJ,Altered
TCGA-DD-A1EC,Altered
TCGA-DD-A4NR,Altered
TCGA-DD-A114,Altered
TCGA-DM-A28C,Altered
TCGA-E2-A1II,Altered
TCGA-E2-A1LA,Altered
TCGA-ED-A5KG,Altered
TCGA-EP-A3RK,Altered
TCGA-GJ-A3OU,Altered
