Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,3352.6392,-0.41573972,0.057297949,-7.255752178,3.99E-13,5.67E-13
A1CF,232.27701,0.256258191,0.119755204,2.139850141,0.03236688,0.036196501
A2BP1,97.247795,2.247188976,0.080302878,27.98391586,2.55E-172,1.39E-171
A2LD1,281.77466,0.152782474,0.021743554,7.026563994,2.12E-12,2.98E-12
A2ML1,1839.3473,-3.273498121,0.080018182,-40.90942902,0,0
A2M,42912.96,0.870273346,0.030788525,28.266159,9.01E-176,5.00E-175
A4GALT,1458.4003,-0.266940901,0.030194247,-8.840786888,9.50E-19,1.46E-18
A4GNT,16.859133,-0.070427605,0.066098428,-1.065495925,0.286651569,0.302898183
AAA1,1.8696795,-0.611667639,0.093133772,-6.567624477,5.11E-11,7.02E-11
AAAS,1850.0806,-0.271449022,0.009566351,-28.37539708,4.07E-177,2.28E-176
AACSL,22.0888,-0.513073554,0.071834816,-7.142407872,9.17E-13,1.30E-12
AACS,1911.6604,-0.399524425,0.015648919,-25.53047993,9.05E-144,3.97E-143
AADACL2,8.237575,-2.304155535,0.121031335,-19.03767756,8.31E-81,2.28E-80
AADACL3,1.5886283,-1.357603438,0.136936595,-9.914102497,3.61E-23,5.87E-23
AADACL4,0.87778544,-0.117730673,0.092127282,-1.277913242,0.201280018,0.215382103
AADAC,753.14465,0.034001383,0.089474243,0.38001308,0.703935705,0.717001552
AADAT,331.4638,0.37011015,0.028885118,12.81317774,1.38E-37,2.63E-37
AAGAB,2390.369,-0.219076807,0.010994284,-19.92642716,2.40E-88,6.96E-88
AAK1,2561.9766,0.238571561,0.016299542,14.63670368,1.64E-48,3.43E-48
AAMP,5599.5845,-0.159882962,0.009283816,-17.22168549,1.83E-66,4.45E-66
AANAT,3.0433025,-0.024208351,0.039449037,-0.613661393,0.539439105,0.556129266
AARS2,1233.1384,-0.206802415,0.012797592,-16.15947904,9.74E-59,2.23E-58
AARSD1,1354.2092,-0.182240491,0.01353487,-13.46451704,2.53E-41,4.97E-41
AARS,7866.0757,0.161745731,0.012738424,12.69746811,6.11E-37,1.15E-36
AASDHPPT,1927.3059,0.371519598,0.012465961,29.80272515,3.60E-195,2.30E-194
AASDH,543.6966,0.229671351,0.01199367,19.14938024,9.79E-82,2.71E-81
AASS,1043.0098,0.812572956,0.028050349,28.96837253,1.65E-184,9.78E-184
AATF,3057.5154,-0.27641159,0.011272164,-24.52160737,8.69E-133,3.55E-132
AATK,613.0659,0.91986102,0.037120132,24.78065066,1.45E-135,6.03E-135
ABAT,4255.6025,1.313382696,0.039720085,33.06595852,9.17E-240,8.27E-239
ABCA10,72.60489,0.47610547,0.037361408,12.74324224,3.40E-37,6.44E-37
ABCA11P,206.48688,0.208690434,0.015837569,13.17692313,1.19E-39,2.31E-39
ABCA12,475.5942,-0.862415977,0.058593414,-14.71865043,4.89E-49,1.03E-48
ABCA13,381.97485,-1.320016198,0.057022664,-23.14897455,1.49E-118,5.46E-118
ABCA17P,49.564556,-0.102631872,0.040719984,-2.520430047,0.011721153,0.013352225
ABCA1,2672.5444,0.769601412,0.021815807,35.27723735,1.31E-272,1.49E-271
ABCA2,4499.056,0.610788261,0.023802646,25.6605192,3.23E-145,1.43E-144
ABCA3,3913.678,0.756112222,0.036209359,20.88167949,7.86E-97,2.43E-96
ABCA4,196.52274,-0.507251748,0.051572621,-9.835679078,7.90E-23,1.28E-22
ABCA5,927.739,-0.062051042,0.023616847,-2.627405799,0.008603866,0.009848539
ABCA6,423.98755,0.744454482,0.046914784,15.86822795,1.05E-56,2.36E-56
ABCA7,1106.3695,-0.896022577,0.022131851,-40.4856584,0,0
ABCA8,659.08734,1.672656947,0.045245812,36.96821631,3.71E-299,5.09E-298
ABCA9,201.73453,1.674149888,0.038450113,43.54083094,0,0
ABCB10,1026.6317,-0.034207849,0.014431864,-2.370300188,0.017773648,0.02008736
ABCB11,61.08186,0.663011345,0.088534757,7.48871254,6.96E-14,1.00E-13
ABCB1,1122.168,0.436877298,0.043448846,10.05498036,8.73E-24,1.43E-23
ABCB4,405.43604,0.049844781,0.05040619,0.988862304,0.322730516,0.339646967
ABCB5,184.25484,-0.711160687,0.081523606,-8.72337137,2.70E-18,4.14E-18
ABCB6,1792.1416,-0.273858836,0.019840967,-13.80269609,2.45E-43,4.92E-43
ABCB7,947.33234,0.093031618,0.010254385,9.072374093,1.16E-19,1.82E-19
ABCB8,1875.0071,-0.281986488,0.013229046,-21.31570924,8.12E-101,2.58E-100
ABCB9,405.75717,-0.208432767,0.018787919,-11.09397827,1.34E-28,2.32E-28
ABCC10,1285.4509,-0.417493455,0.013126378,-31.80568703,5.40E-222,4.27E-221
ABCC11,312.5736,-0.016388387,0.063286266,-0.258956453,0.79566884,0.806001687
ABCC12,11.030981,0.057549855,0.095603331,0.601964955,0.547197465,0.563756551
ABCC13,16.734938,-0.268707325,0.079432178,-3.382852301,0.000717372,0.000852348
ABCC1,4458.2666,-0.627373664,0.022053255,-28.44812138,5.14E-178,2.90E-177
ABCC2,650.6689,0.158641305,0.057461589,2.760823501,0.005765583,0.006638098
ABCC3,3911.4556,-0.401131575,0.040191791,-9.980435332,1.86E-23,3.03E-23
ABCC4,2645.7349,0.159637643,0.037963587,4.205020031,2.61E-05,3.22E-05
ABCC5,3284.1663,-0.734064807,0.02573053,-28.5289429,5.13E-179,2.91E-178
ABCC6P1,105.26731,0.127949471,0.059339791,2.156217076,0.031066719,0.034765422
ABCC6P2,118.76145,0.08037806,0.042290443,1.900619959,0.057351809,0.063433774
ABCC6,828.8538,0.305325422,0.048359214,6.313697012,2.72E-10,3.70E-10
ABCC8,248.0462,1.16010501,0.071269803,16.27765153,1.42E-59,3.28E-59
ABCC9,670.9484,1.704071855,0.031603951,53.91958298,0,0
ABCD1,1486.1774,-0.491555285,0.021876103,-22.46996556,8.17E-112,2.85E-111
ABCD2,78.137436,1.616390627,0.038941869,41.5077825,0,0
ABCD3,3112.6633,0.240553514,0.016678552,14.42292527,3.71E-47,7.68E-47
ABCD4,1490.8821,0.148669836,0.013157684,11.29908851,1.33E-29,2.32E-29
ABCE1,3191.9502,-0.062223246,0.011976749,-5.195337083,2.04E-07,2.64E-07
ABCF1,4335.5435,-0.142352246,0.010770246,-13.21717741,6.98E-40,1.36E-39
ABCF2,3157.9497,-0.111435193,0.009968941,-11.17823823,5.21E-29,9.05E-29
ABCF3,2960.6724,-0.305735846,0.011480091,-26.63183191,2.91E-156,1.40E-155
ABCG1,1879.218,-0.064866682,0.021590789,-3.004368362,0.002661329,0.003102852
ABCG2,564.8239,1.461298945,0.036249202,40.31258248,0,0
ABCG4,42.569958,0.412057811,0.04180235,9.8572883,6.37E-23,1.03E-22
ABCG5,124.09181,-0.014881904,0.064994698,-0.228971052,0.818891416,0.82820717
ABCG8,154.63934,0.043389593,0.101787304,0.426277059,0.669905973,0.683982733
ABHD10,1687.4,0.088674069,0.013342324,6.646073865,3.01E-11,4.15E-11
ABHD11,2160.7466,-0.711651715,0.02206816,-32.24789558,3.77E-228,3.11E-227
ABHD12B,54.786552,-1.318056666,0.055892343,-23.58206128,5.89E-123,2.23E-122
ABHD12,4354.6562,-0.212430683,0.014710163,-14.44108265,2.85E-47,5.91E-47
ABHD13,985.1737,0.162164198,0.011585502,13.99716582,1.62E-44,3.29E-44
ABHD14A,991.5356,-0.076200881,0.021675485,-3.515532946,0.000438872,0.00052494
ABHD14B,4163.295,-0.232377512,0.01895652,-12.25844816,1.51E-34,2.79E-34
ABHD15,838.4526,0.029606123,0.016227177,1.824477696,0.068079885,0.074941248
ABHD1,44.475395,0.250591019,0.034209672,7.325151194,2.39E-13,3.40E-13
ABHD2,11437.897,0.070708848,0.024310865,2.908528714,0.003631338,0.004211359
ABHD3,1208.9635,-0.303733941,0.020243104,-15.00431636,6.88E-51,1.47E-50
ABHD4,2422.9207,0.291440099,0.015600462,18.68150493,7.00E-78,1.88E-77
ABHD5,1346.9036,0.194787998,0.014382534,13.54337151,8.67E-42,1.71E-41
ABHD6,800.87463,0.646985593,0.024329777,26.59233568,8.33E-156,4.01E-155
ABHD8,878.0944,0.105935642,0.019411447,5.45738011,4.83E-08,6.30E-08
ABI1,3328.252,0.014542898,0.011702265,1.24274211,0.213962881,0.228377388
ABI2,3106.8684,0.945102499,0.016068042,58.81877275,0,0
ABI3BP,1505.5033,1.636055309,0.038910097,42.04706354,0,0
ABI3,599.1899,0.181091571,0.021880457,8.276407299,1.27E-16,1.90E-16
ABL1,5248.287,0.440746364,0.012597076,34.9879891,3.43E-268,3.79E-267
ABL2,2126.6313,0.351916927,0.016201597,21.72112603,1.30E-104,4.27E-104
ABLIM1,7570.3936,0.298516802,0.022747838,13.12286462,2.44E-39,4.70E-39
ABLIM2,435.50275,-0.198124088,0.031837413,-6.222995919,4.88E-10,6.60E-10
ABLIM3,1551.1882,0.898933389,0.034014055,26.42829245,6.48E-154,3.08E-153
ABO,215.76436,-0.372694334,0.048255161,-7.723408816,1.13E-14,1.65E-14
ABP1,3144.1814,-0.139093973,0.062423836,-2.228218932,0.025865919,0.029042811
ABRA,7.093731,0.613660862,0.057572815,10.65886505,1.59E-26,2.68E-26
ABR,6024.116,0.155813962,0.020788604,7.495162364,6.62E-14,9.54E-14
ABT1,1578.1599,-0.380325491,0.010458273,-36.3659945,1.47E-289,1.87E-288
ABTB1,1312.6482,-0.178817607,0.015654753,-11.42257584,3.23E-30,5.68E-30
ABTB2,766.91046,0.281360409,0.025527846,11.02170597,3.00E-28,5.17E-28
ACAA1,3832.6418,0.068800801,0.021866979,3.146333182,0.001653315,0.001940832
ACAA2,4456.2344,0.514167667,0.029553469,17.39787865,8.56E-68,2.12E-67
ACACA,4145.3057,0.012083084,0.018532278,0.652002116,0.514399808,0.531445533
ACACB,1554.5315,0.887989998,0.029374105,30.23036815,9.45E-201,6.35E-200
ACAD10,1475.853,-0.086535403,0.015088212,-5.735298559,9.73E-09,1.28E-08
