Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ACAD11,1640.8513,0.920290689,0.027467816,33.50432716,4.17E-246,3.94E-245
ACAD8,1421.3973,0.278489304,0.018965824,14.68374431,8.19E-49,1.72E-48
ACAD9,2188.8835,-0.223972427,0.009402096,-23.82154176,2.00E-125,7.74E-125
ACADL,357.1201,0.986320878,0.059968087,16.44742943,8.75E-61,2.04E-60
ACADM,2476.8235,0.500387798,0.018693423,26.76812096,7.60E-158,3.71E-157
ACADSB,2786.4653,0.568400451,0.030233985,18.80005097,7.54E-79,2.04E-78
ACADS,1721.0557,-0.223193651,0.025496467,-8.75390489,2.06E-18,3.16E-18
ACADVL,12841.72,-0.150137826,0.017093418,-8.783370411,1.59E-18,2.44E-18
ACAN,534.1746,1.630751456,0.043317009,37.64690831,3.6758326679733e-310,0.00E+00
ACAP1,533.77686,-1.268236796,0.034879917,-36.36008628,1.82E-289,2.32E-288
ACAP2,2792.8467,-0.003090458,0.016160295,-0.191237726,0.848339348,0.856585864
ACAP3,2250.2573,0.091517125,0.02046453,4.471987607,7.75E-06,9.68E-06
ACAT1,4021.876,0.506703679,0.027380656,18.50589983,1.85E-76,4.91E-76
ACAT2,1603.4692,-0.268812604,0.022123154,-12.15073625,5.69E-34,1.04E-33
ACBD3,3212.0293,0.081685321,0.012824621,6.36941407,1.90E-10,2.58E-10
ACBD4,791.12286,0.135598488,0.023619568,5.740938627,9.42E-09,1.24E-08
ACBD5,2103.1733,0.450991805,0.016531248,27.28117128,7.10E-164,3.63E-163
ACBD6,1183.6066,-0.202107666,0.010465915,-19.31103729,4.34E-83,1.21E-82
ACBD7,334.758,1.066339494,0.038764488,27.50815338,1.40E-166,7.32E-166
ACCN1,56.956192,0.320820266,0.058892845,5.447525301,5.11E-08,6.66E-08
ACCN2,716.48096,1.556453138,0.039175392,39.73037768,0,0
ACCN3,86.050545,0.154236648,0.036942687,4.175025155,2.98E-05,3.67E-05
ACCN4,300.97943,2.848057701,0.07254567,39.25882393,0,0
ACCN5,0.41398534,-0.440304763,0.113118852,-3.892408335,9.93E-05,0.000120805
ACCSL,3.620092,-1.732838839,0.149163161,-11.61706971,3.38E-31,6.01E-31
ACCS,589.01904,-0.34474548,0.022971967,-15.0072251,6.58E-51,1.41E-50
ACD,997.41943,-0.218502711,0.012322807,-17.73157016,2.39E-70,6.03E-70
ACE2,810.491,0.174274448,0.057777212,3.016318053,0.002558647,0.002985015
ACER1,7.359628,-1.203845666,0.0724667,-16.61239801,5.67E-62,1.33E-61
ACER2,266.9138,-0.260820223,0.033644775,-7.752176134,9.03E-15,1.32E-14
ACER3,962.0132,0.149806285,0.018393259,8.144629749,3.80E-16,5.67E-16
ACE,1789.009,0.112638753,0.028696136,3.925223663,8.66E-05,0.000105672
ACHE,432.8235,-0.226616378,0.040080971,-5.65396429,1.57E-08,2.06E-08
ACIN1,6693.2554,-0.110907904,0.009378537,-11.82571468,2.87E-32,5.17E-32
ACLY,9135.332,0.190718947,0.015464119,12.33299829,6.02E-35,1.11E-34
ACMSD,420.54025,0.704472471,0.111729406,6.305166164,2.88E-10,3.91E-10
ACN9,582.3927,-0.264792564,0.017979174,-14.72773768,4.28E-49,9.01E-49
ACO1,3121.1533,0.436330285,0.019466352,22.41458955,2.84E-111,9.86E-111
ACO2,8223.893,0.137841998,0.015461263,8.915312953,4.86E-19,7.53E-19
ACOT11,670.1653,-0.642773759,0.032009182,-20.0809181,1.08E-89,3.17E-89
ACOT12,66.872635,0.237819034,0.120811458,1.968513894,0.049008939,0.054380477
ACOT13,1663.2047,-0.080731863,0.014615274,-5.523800883,3.32E-08,4.34E-08
ACOT1,1104.8911,0.299394401,0.024810332,12.06732743,1.57E-33,2.86E-33
ACOT2,768.1364,0.213176277,0.020202623,10.55191099,4.98E-26,8.38E-26
ACOT4,264.7649,-0.031222113,0.027898708,-1.119123965,0.263087257,0.279041077
ACOT6,9.025717,0.52659742,0.041800321,12.59792769,2.17E-36,4.07E-36
ACOT7,2466.1755,-0.509840503,0.022338567,-22.82333046,2.69E-115,9.62E-115
ACOT8,1152.7225,-0.423919237,0.013696226,-30.95153716,2.42E-210,1.75E-209
ACOT9,1228.4348,0.018890086,0.01393527,1.355559438,0.175239385,0.188358515
ACOX1,4429.8228,0.089924756,0.017637072,5.098621466,3.42E-07,4.40E-07
ACOX2,787.51337,0.55493504,0.040754418,13.61656154,3.19E-42,6.32E-42
ACOX3,999.08673,-0.118161259,0.014886016,-7.937735885,2.06E-15,3.03E-15
ACOXL,47.769783,-0.54231653,0.048548092,-11.1707074,5.67E-29,9.85E-29
ACP1,3756.7988,-0.220712732,0.009600175,-22.99049092,5.80E-117,2.10E-116
ACP2,2794.7678,-0.09192119,0.013335415,-6.893013324,5.46E-12,7.63E-12
ACP5,3684.725,-0.354526656,0.033472082,-10.59171218,3.26E-26,5.49E-26
ACP6,816.1436,-0.305900976,0.019194659,-15.93677615,3.52E-57,7.94E-57
ACPL2,1016.2188,0.460505808,0.020041145,22.97801907,7.73E-117,2.80E-116
ACPP,9185.949,0.960816621,0.069096435,13.90544426,5.87E-44,1.18E-43
ACPT,1.6550235,-0.711179957,0.07055957,-10.07914247,6.83E-24,1.12E-23
ACRBP,111.254425,-0.013666662,0.027723834,-0.492957125,0.622042882,0.637255122
ACRC,59.81249,0.057580733,0.024656109,2.33535359,0.019524957,0.022025077
ACRV1,7.4513855,0.037221875,0.03735437,0.99645303,0.319030078,0.335874101
ACR,11.400583,0.04973342,0.033175942,1.499080872,0.133852653,0.145021881
ACSBG1,220.31825,2.342488676,0.049577329,47.24919106,0,0
ACSBG2,4.25027,0.548094731,0.037152926,14.75239731,2.97E-49,6.26E-49
ACSF2,1668.3286,0.012307375,0.02654739,0.463600184,0.642934222,0.657862885
ACSF3,1073.4053,-0.353273053,0.014309341,-24.68828316,1.43E-134,5.90E-134
ACSL1,7228.2705,0.626282298,0.030529777,20.51381843,1.62E-93,4.88E-93
ACSL3,5472.0107,0.191977879,0.018322423,10.47775607,1.09E-25,1.83E-25
ACSL4,3899.747,0.210620642,0.024799868,8.49281307,2.02E-17,3.05E-17
ACSL5,3866.0615,-0.936412194,0.034923449,-26.81327963,2.26E-158,1.11E-157
ACSL6,205.82317,1.397085154,0.051940776,26.89765662,2.34E-159,1.15E-158
ACSM1,309.94855,-0.463584372,0.061172331,-7.578334228,3.50E-14,5.06E-14
ACSM2A,1862.1115,0.778717144,0.137345768,5.669757116,1.43E-08,1.88E-08
ACSM2B,1395.7606,0.902730064,0.158903595,5.680992076,1.34E-08,1.76E-08
ACSM3,733.27075,0.059883927,0.044301499,1.351735912,0.176459812,0.189630262
ACSM4,0.2516162,-0.544510973,0.136044423,-4.002449789,6.27E-05,7.67E-05
ACSM5,462.07376,1.249053418,0.059794932,20.88895104,6.75E-97,2.09E-96
ACSS1,2897.6973,-0.035567275,0.023272436,-1.528300449,0.126437958,0.137192901
ACSS2,3051.9773,-0.289355696,0.020812745,-13.90281263,6.09E-44,1.23E-43
ACSS3,708.0737,0.883115115,0.04210305,20.97508667,1.11E-97,3.45E-97
ACTA1,467.7609,0.654239598,0.067136029,9.744985074,1.94E-22,3.12E-22
ACTA2,17563.611,1.578751768,0.031873259,49.5321721,0,0
ACTBL2,13.00551,0.37168677,0.059453413,6.251731458,4.06E-10,5.49E-10
ACTB,233890.72,-0.088039485,0.012770592,-6.893923345,5.43E-12,7.59E-12
ACTC1,460.53442,1.394631313,0.064298786,21.68985435,2.56E-104,8.39E-104
ACTG1,162829.98,-0.280981301,0.012325276,-22.79716047,4.89E-115,1.75E-114
ACTG2,10090.302,2.868138551,0.055544151,51.63709404,0,0
ACTL6A,2644.3064,-0.474361516,0.016391714,-28.93910455,3.85E-184,2.27E-183
ACTL6B,98.97221,1.476866603,0.154497035,9.5591906,1.19E-21,1.89E-21
ACTL7A,0.26986364,-0.674265549,0.105740059,-6.376632974,1.81E-10,2.46E-10
ACTL7B,0.5708024,-0.785620228,0.060635062,-12.95653371,2.16E-38,4.13E-38
ACTL8,66.55679,-1.880660564,0.075970743,-24.75506338,2.73E-135,1.13E-134
ACTL9,0.17663456,-0.485342565,0.1952824,-2.485336951,0.012942886,0.014713508
ACTN1,12474.531,0.406762938,0.020690022,19.65986048,4.76E-86,1.36E-85
ACTN2,348.7581,1.144969401,0.063279049,18.09397283,3.56E-73,9.15E-73
ACTN3,6.6615663,0.520166248,0.04632819,11.22785614,2.98E-29,5.18E-29
ACTN4,28533.752,-0.149647091,0.015502819,-9.652895291,4.78E-22,7.66E-22
ACTR10,2158.2373,0.229059072,0.010030682,22.83584206,2.02E-115,7.23E-115
ACTR1A,6119.2114,0.003491915,0.01018173,0.34295889,0.731629387,0.744241166
ACTR1B,3352.527,-0.006052038,0.010179178,-0.594550772,0.552143794,0.568622364
ACTR2,12261.11,0.036390099,0.011813478,3.080388327,0.002067309,0.002419843
ACTR3B,484.30365,0.005429938,0.018107128,0.299878451,0.764269872,0.775545547
ACTR3C,125.29436,-0.368709323,0.026725811,-13.79600141,2.69E-43,5.39E-43
ACTR3,9427.546,-0.16118548,0.012919304,-12.4763289,1.01E-35,1.88E-35
ACTR5,539.5855,-0.329952407,0.011049978,-29.86000466,6.51E-196,4.19E-195
ACTR6,1067.0869,0.166493928,0.011293182,14.74287088,3.42E-49,7.21E-49
ACTR8,960.6203,0.189728461,0.009478819,20.0160446,3.99E-89,1.17E-88
ACTRT1,0.2373073,-0.688360296,0.118512243,-5.808347542,6.31E-09,8.36E-09
ACTRT2,0.19926769,-0.440331788,0.285611605,-1.541715324,0.123142786,0.133745745
ACVR1B,2974.2478,-0.11064979,0.015737795,-7.030831809,2.05E-12,2.89E-12
ACVR1C,178.98203,0.520900375,0.039105697,13.3203194,1.76E-40,3.44E-40
ACVR1,2052.2578,0.518975811,0.015266723,33.99392377,2.74E-253,2.72E-252
ACVR2A,733.9086,0.312552145,0.013544645,23.07569865,8.12E-118,2.96E-117
ACVR2B,805.10315,0.307974166,0.018764307,16.4127652,1.55E-60,3.60E-60
ACVRL1,1465.9608,0.657566365,0.025230996,26.06184694,9.88E-150,4.56E-149
ACY1,2961.7515,-0.034875213,0.026665095,-1.307897569,0.190908054,0.204595308
ACY3,380.3458,0.050783639,0.049970023,1.016282086,0.309495077,0.32615613
ACYP1,254.10544,-0.343800341,0.01782264,-19.29009019,6.51E-83,1.81E-82
ACYP2,377.74597,0.368807064,0.020944823,17.60850729,2.12E-69,5.31E-69
ADAD1,0.69375086,-1.598606988,0.236413462,-6.761911829,1.36E-11,1.89E-11
ADAD2,13.183478,0.407332754,0.049012231,8.310838865,9.50E-17,1.43E-16
ADAL,371.29523,0.362060398,0.0152342,23.7662894,7.46E-125,2.87E-124
ADAM10,3649.01,0.234303629,0.0176381,13.28394981,2.87E-40,5.59E-40
ADAM11,112.36131,1.0058367,0.040830131,24.63466776,5.37E-134,2.21E-133
ADAM12,1533.2938,0.965627361,0.040518619,23.83169452,1.57E-125,6.07E-125
ADAM15,7043.738,-0.521228051,0.017289803,-30.14655739,1.19E-199,7.90E-199
ADAM17,1521.8379,0.083008477,0.01869923,4.439138815,9.03E-06,1.13E-05
ADAM18,1.6805936,0.939640196,0.153416077,6.12478309,9.08E-10,1.22E-09
ADAM19,1238.8379,0.311799306,0.029096011,10.71622165,8.54E-27,1.45E-26
ADAM20,4.277517,-0.146504118,0.028798191,-5.087268129,3.63E-07,4.67E-07
ADAM21P1,3.0560832,0.355855297,0.037106624,9.590074808,8.80E-22,1.41E-21
ADAM21,13.141315,0.288396483,0.031827833,9.06114113,1.29E-19,2.01E-19
ADAM22,195.43121,2.059297352,0.038217311,53.88388857,0,0
ADAM23,466.8454,-0.276922641,0.052131839,-5.31196761,1.08E-07,1.41E-07
ADAM28,552.3203,-0.411153417,0.035558472,-11.56274127,6.36E-31,1.13E-30
ADAM29,3.7655501,0.49752299,0.069925205,7.115073787,1.12E-12,1.58E-12
ADAM2,4.84249,-1.135819283,0.163648045,-6.940622396,3.90E-12,5.47E-12
ADAM30,0.43995437,-0.866477042,0.128023743,-6.768096446,1.30E-11,1.81E-11
ADAM32,35.58893,-0.571362205,0.040853627,-13.985593,1.91E-44,3.87E-44
ADAM33,301.25302,1.300608435,0.041708315,31.18343236,1.79E-213,1.33E-212
ADAM3A,0.16053972,-0.461343713,0.233682522,-1.97423286,0.048355271,0.053675643
ADAM5P,0.18289381,-0.444316329,0.185895536,-2.390139855,0.016841958,0.019056601
ADAM6,101053.19,-1.049591755,0.050796085,-20.6628473,7.48E-95,2.28E-94
ADAM7,2.70124,-0.202827704,0.185899316,-1.091062129,0.275245546,0.291375003
ADAM8,1161.3429,-0.918767825,0.031068834,-29.57200879,3.42E-192,2.14E-191
ADAM9,6202.8755,0.263860887,0.022302328,11.83109152,2.70E-32,4.85E-32
ADAMDEC1,434.69897,-0.719964983,0.047708098,-15.09104347,1.85E-51,3.98E-51
ADAMTS10,369.3873,0.867057296,0.028320813,30.61555081,7.60E-206,5.32E-205
ADAMTS12,308.00992,0.888363704,0.04042985,21.97296541,5.22E-107,1.76E-106
ADAMTS13,257.2031,0.217339054,0.026898498,8.079969824,6.48E-16,9.62E-16
ADAMTS14,324.4048,0.276571657,0.035452108,7.801275473,6.13E-15,8.96E-15
ADAMTS15,234.68126,0.558254252,0.043317244,12.88757544,5.29E-38,1.01E-37
ADAMTS16,201.10594,1.262143116,0.047177548,26.75304605,1.14E-157,5.55E-157
ADAMTS17,200.83388,-0.112746958,0.032142935,-3.507674686,0.000452041,0.000540501
ADAMTS18,68.04833,0.495872655,0.048537789,10.21621845,1.68E-24,2.78E-24
ADAMTS19,63.93176,-0.275539031,0.079192349,-3.479364293,0.000502605,0.000600149
ADAMTS1,3512.9539,1.130756027,0.029551193,38.26431032,0,0
ADAMTS20,17.230398,0.327168628,0.082631112,3.959387962,7.51E-05,9.18E-05
ADAMTS2,801.46405,0.771158481,0.035531515,21.70350709,1.90E-104,6.25E-104
ADAMTS3,149.37569,0.900417845,0.034707194,25.94326265,2.17E-148,9.88E-148
ADAMTS4,1483.7595,1.081474322,0.032147426,33.64108604,4.21E-248,4.03E-247
ADAMTS5,663.2541,1.835453554,0.031963636,57.42317757,0,0
ADAMTS6,143.4452,0.773833934,0.034026921,22.74181461,1.73E-114,6.14E-114
ADAMTS7,549.3107,0.391997378,0.028954948,13.53818256,9.31E-42,1.83E-41
ADAMTS8,213.73933,1.152608419,0.044709499,25.77994493,1.49E-146,6.69E-146
ADAMTS9,1226.7097,1.107458579,0.02978517,37.18154274,1.36E-302,1.92E-301
ADAMTSL1,396.7041,0.950740882,0.038201566,24.88748423,1.02E-136,4.26E-136
ADAMTSL2,710.98456,0.526468382,0.030992759,16.98681881,1.03E-64,2.47E-64
ADAMTSL3,438.05685,1.471063714,0.037175777,39.57049005,0,0
ADAMTSL4,1247.4894,0.175906366,0.033677014,5.223336235,1.76E-07,2.27E-07
ADAMTSL5,197.3575,-0.852002553,0.033932792,-25.10853104,4.01E-139,1.71E-138
ADAP1,1427.8542,-0.831798779,0.031063695,-26.77720005,5.96E-158,2.91E-157
ADAP2,571.11816,0.348207081,0.021832364,15.94912375,2.89E-57,6.52E-57
ADARB1,1176.2542,0.572073187,0.019956823,28.66554352,1.03E-180,5.92E-180
ADARB2,54.716496,1.251051857,0.057105543,21.90771311,2.19E-106,7.34E-106
ADAR,17126.502,0.012903864,0.011816463,1.09202425,0.274822443,0.290942234
ADAT1,506.6113,0.224614468,0.016662367,13.48034544,2.04E-41,4.01E-41
ADAT2,381.55673,-0.668524501,0.01885726,-35.45183607,2.72E-275,3.14E-274
ADAT3,197.77394,-0.953452558,0.02235481,-42.65089024,0,0
ADA,785.87616,-1.20292312,0.030421596,-39.54174903,0,0
ADCK1,503.5148,-0.165090479,0.013729251,-12.02472545,2.63E-33,4.79E-33
ADCK2,1834.6602,-0.116567117,0.011833833,-9.850326183,6.83E-23,1.11E-22
ADCK4,1576.3928,-0.13787828,0.011638586,-11.84665208,2.24E-32,4.03E-32
ADCK5,568.5362,-0.994007949,0.018137986,-54.80255363,0,0
ADCY10,16.651094,-0.476880303,0.050072032,-9.523885629,1.67E-21,2.66E-21
ADCY1,1050.5212,0.545597708,0.041108041,13.27228679,3.35E-40,6.53E-40
ADCY2,727.7201,2.38726565,0.054541937,43.76935953,0,0
ADCY3,2262.5447,-0.008167804,0.018747556,-0.435672968,0.663074021,0.677448888
ADCY4,347.97803,0.744772885,0.023981647,31.05595287,9.48E-212,6.93E-211
ADCY5,479.44992,1.671858845,0.042953638,38.92240409,0,0
ADCY6,2816.609,0.172367101,0.01794176,9.607034153,7.47E-22,1.19E-21
ADCY7,1576.475,-0.137936069,0.023322027,-5.914411547,3.33E-09,4.43E-09
ADCY8,230.02672,2.668998732,0.094197158,28.33417473,1.31E-176,7.31E-176
ADCY9,1952.6736,0.528005178,0.020904121,25.25842584,9.15E-141,3.94E-140
ADCYAP1R1,286.0258,4.155127447,0.083380128,49.83354608,0,0
ADCYAP1,113.39102,0.038793679,0.055058399,0.704591485,0.481064499,0.498295199
ADC,350.53983,0.638346213,0.023516196,27.14496061,2.90E-162,1.47E-161
ADD1,11295.789,0.502490924,0.01039919,48.32019956,0,0
ADD2,404.3123,0.849629545,0.048988981,17.3432785,2.22E-67,5.46E-67
ADD3,4876.9814,0.607369411,0.020692414,29.3522745,2.24E-189,1.37E-188
ADH1A,965.27893,-0.226454042,0.100620279,-2.250580556,0.024412116,0.027439202
ADH1B,7154.3965,1.549523728,0.07054215,21.96592718,6.10E-107,2.05E-106
ADH1C,1718.1339,-0.421117842,0.073603296,-5.721453605,1.06E-08,1.39E-08
ADH4,1093.0891,0.252731178,0.113661982,2.22353309,0.026179875,0.029393706
