Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AMICA1,559.9992,-0.750767686,0.034478513,-21.77494384,4.01E-105,1.41E-104
AMIGO1,254.60863,-0.400226264,0.026963632,-14.84318816,7.70E-50,1.68E-49
AMIGO2,1488.7786,0.274458009,0.037120258,7.393752707,1.43E-13,2.06E-13
AMIGO3,296.78235,-0.48406192,0.019791637,-24.45790186,4.15E-132,1.78E-131
AMMECR1L,1566.0607,0.073498817,0.009917618,7.410934561,1.25E-13,1.81E-13
AMMECR1,997.1248,0.81241949,0.019879098,40.86802487,0,0
AMN1,454.27765,-0.334987235,0.018438544,-18.1677702,9.29E-74,2.52E-73
AMN,732.5524,0.055430918,0.064448431,0.860081741,0.389743985,0.413939058
AMOTL1,3491.1992,0.170420446,0.027141876,6.278875011,3.41E-10,4.65E-10
AMOTL2,3635.6748,-0.094851466,0.025155943,-3.770539163,0.000162895,0.000197557
AMOT,1758.0979,-0.128413525,0.032179513,-3.9905366,6.59E-05,8.09E-05
AMPD1,22.419592,0.424239714,0.066963585,6.335379391,2.37E-10,3.24E-10
AMPD2,2618.798,-0.177022364,0.018022236,-9.822441904,9.01E-23,1.48E-22
AMPD3,849.1169,0.077114518,0.024197421,3.18688991,0.001438115,0.001696031
AMPH,259.13867,-0.072516121,0.049433884,-1.46693149,0.142394693,0.155493111
AMTN,115.20651,3.790425201,0.117303547,32.31296317,4.60E-229,3.79E-228
AMT,613.5916,-0.874449696,0.032413588,-26.97787424,2.69E-160,1.41E-159
AMY1A,441.71997,-2.503696781,0.072519716,-34.5243602,3.46E-261,3.48E-260
AMY2A,110.091576,-0.618683849,0.079210221,-7.810656731,5.69E-15,8.39E-15
AMY2B,485.94357,-1.014367065,0.035021286,-28.96430126,1.85E-184,1.14E-183
AMZ1,76.989006,0.871404452,0.046920388,18.5719788,5.42E-77,1.51E-76
AMZ2P1,418.20078,-0.404246499,0.018845167,-21.45093805,4.48E-102,1.53E-101
AMZ2,2891.0876,-0.144323569,0.0125352,-11.51346325,1.13E-30,2.03E-30
ANAPC10,262.83777,-0.023565295,0.010668679,-2.208829624,0.027186494,0.030730655
ANAPC11,3680.4556,-0.262118188,0.018693775,-14.02168333,1.15E-44,2.39E-44
ANAPC13,2701.99,-0.138228116,0.011261531,-12.27436246,1.24E-34,2.33E-34
ANAPC16,4479.9365,-0.390307648,0.012287393,-31.76488727,1.98E-221,1.56E-220
ANAPC1,1500.9093,0.519791962,0.016124568,32.2360234,5.52E-228,4.53E-227
ANAPC2,1827.8141,-0.147414504,0.011956794,-12.32893213,6.33E-35,1.19E-34
ANAPC4,1103.753,-0.261368295,0.015469181,-16.89606545,4.81E-64,1.20E-63
ANAPC5,5532.129,-0.019719049,0.008951343,-2.20291523,0.027600724,0.031188496
ANAPC7,2571.2517,0.065870478,0.010420892,6.321001894,2.60E-10,3.55E-10
ANGEL1,1297.4696,0.158665123,0.014264307,11.12322714,9.67E-29,1.70E-28
ANGEL2,1260.5759,-0.224135721,0.011934924,-18.77981945,1.10E-78,3.12E-78
ANGPT1,450.41638,-1.443020733,0.039718293,-36.33138854,5.17E-289,5.99E-288
ANGPT2,966.62256,-0.825578049,0.033776629,-24.44228676,6.08E-132,2.60E-131
ANGPT4,7.641076,-1.311453666,0.055282932,-23.72257818,2.11E-124,8.55E-124
ANGPTL1,354.48804,-1.44212405,0.048477924,-29.74805736,1.84E-194,1.20E-193
ANGPTL2,3432.6106,0.345298575,0.03346867,10.31706901,5.90E-25,9.92E-25
ANGPTL3,914.10785,-8.727573165,0.101812061,-85.72238971,0,0
ANGPTL4,3817.2263,-1.776560315,0.047020479,-37.78269284,0,0
ANGPTL5,5.387213,-1.557163884,0.064092404,-24.29560734,2.18E-130,9.24E-130
ANGPTL6,47.543907,-1.762055688,0.044428044,-39.66088797,0,0
ANGPTL7,67.47479,-2.346789017,0.071165539,-32.97648075,1.77E-238,1.54E-237
ANG,2085.3728,-2.132000038,0.047440099,-44.94088553,0,0
