Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DEDD2,1555.2932,0.088428887,0.014424973,6.1302637,8.77E-10,1.19E-09
DEDD,1958.1204,0.047022499,0.009856126,4.770890433,1.83E-06,2.33E-06
DEF6,1046.1193,0.208279919,0.025011485,8.32737119,8.27E-17,1.25E-16
DEF8,2139.655,-0.131461412,0.014177945,-9.272247002,1.82E-20,2.90E-20
DEFA1B,16.237055,-1.821188847,0.085372614,-21.33223722,5.70E-101,1.93E-100
DEFA4,1.4014692,-2.363006951,0.132821937,-17.79078823,8.33E-71,2.20E-70
DEFA5,84.67491,2.643225283,0.213063279,12.4058228,2.43E-35,4.60E-35
DEFA6,51.20393,3.274781244,0.203324523,16.10617942,2.31E-58,5.47E-58
DEFB103B,39.330315,4.837268988,0.156553534,30.89849751,1.25E-209,9.08E-209
DEFB104A,0.13611428,0.0573621,0.340020138,0.168702067,0.866030993,0.881135682
DEFB105A,0.029644135,-0.230308723,0.993695887,-0.231769826,0.816716794,0.836605646
DEFB106A,0.009431887,-0.111179904,1.039948022,-0.106909097,0.914861096,0.924914573
DEFB107A,0.06250192,-0.075157724,0.507600319,-0.14806477,0.882291652,0.895606162
DEFB108B,0.007579399,-0.141874841,1.009735897,-0.14050688,0.888259517,0.900825679
DEFB109P1B,0.17160612,-0.291854997,0.171535762,-1.701423621,0.088863469,0.098228437
DEFB109P1,0.06221776,-0.210719143,0.304535097,-0.691937136,0.488976808,0.515086606
DEFB110,0.010206588,-0.163395232,1.407141482,-0.116118553,0.907558585,0.918218544
DEFB112,0.005335551,-0.146785741,1.564393488,-0.093829169,0.92524486,0.934211105
DEFB113,0.000634629,-0.146960124,3.268222668,-0.044966374,0.964134111,0.967853989
DEFB114,0.00086431,-0.143658781,3.268221431,-0.043956257,0.964939272,0.968077595
DEFB115,0.004582325,-0.149837004,1.502943761,-0.099695683,0.920585928,0.930088279
DEFB116,0.02291259,-0.089780624,0.776361077,-0.115642871,0.907935584,0.91849245
DEFB118,0.088765025,0.009842653,0.31501974,0.031244559,0.975074505,0.97723451
DEFB119,1.1769074,2.159137948,0.25733594,8.390347451,4.85E-17,7.35E-17
DEFB121,0.005923112,-0.151339656,0.069835064,-2.167101285,0.030227132,0.034105197
DEFB122,0.06904914,-0.402748855,0.624092983,-0.645334695,0.518710314,0.545082238
DEFB123,0.5027452,-1.699977174,0.319075817,-5.327815789,9.94E-08,1.30E-07
DEFB124,0.42891595,-0.708087238,0.130764961,-5.414961572,6.13E-08,8.03E-08
DEFB125,0.16169131,-0.538421963,0.259158434,-2.077578396,0.037748208,0.04241257
DEFB126,2.4617023,0.073552926,0.111487213,0.659743156,0.509418667,0.535705302
DEFB127,0.04532824,-0.137838843,0.503161459,-0.27394555,0.784126466,0.806191039
DEFB128,0.003372351,-0.131494233,1.708774172,-0.076952376,0.938661431,0.945909423
DEFB129,0.13548398,-0.527592142,0.31107616,-1.696022419,0.089881634,0.099299989
DEFB130,0.007668902,-0.145448317,1.359249986,-0.107006304,0.914783979,0.924914573
DEFB131,0.2436761,-0.86352753,0.158980983,-5.431640385,5.58E-08,7.32E-08
DEFB132,17.856451,-43.28085123,121.5834968,-0.355976365,0.721858265,0.746384582
DEFB134,0.004973854,-0.146430158,1.035220885,-0.141448226,0.887515858,0.90016118
DEFB135,0.010890732,-0.148413144,1.008282822,-0.147193963,0.882978926,0.896095307
DEFB136,0.020030955,-0.144609044,0.636803534,-0.227085806,0.820357021,0.839827455
DEFB1,2063.1106,-2.018253392,0.069645354,-28.9790098,1.21E-184,7.45E-184
DEFB4A,45.01416,3.511389658,0.140018088,25.07811457,8.62E-139,3.88E-138
DEGS1,4413.1777,-0.54236654,0.019283709,-28.12563346,4.76E-174,2.74E-173
DEGS2,838.9144,0.039949296,0.047152409,0.847237638,0.396862678,0.421192059
DEK,6430.1177,0.491024727,0.016596422,29.58618017,2.25E-192,1.45E-191
DEM1,346.11194,-0.155862406,0.014920389,-10.44626933,1.52E-25,2.58E-25
DENND1A,1843.6605,-0.06305652,0.013554393,-4.652109351,3.29E-06,4.15E-06
DENND1B,217.88245,0.053557871,0.028364082,1.888228621,0.058995265,0.065791225
DENND1C,703.40125,-0.527335635,0.025462177,-20.71054807,2.78E-95,8.98E-95
DENND2A,730.9583,-0.300533858,0.039403216,-7.627140263,2.40E-14,3.51E-14
DENND2C,193.77264,1.997683996,0.032880482,60.75592167,0,0
DENND2D,1388.395,0.037972453,0.02553011,1.487359546,0.136919875,0.149675244
DENND3,1426.9779,-0.551370859,0.025025515,-22.03234789,1.41E-107,5.05E-107
DENND4A,1098.2886,0.04915059,0.019299967,2.546667088,0.010875713,0.01249823
DENND4B,2472.0303,-0.15161726,0.014499586,-10.4566611,1.37E-25,2.31E-25
DENND4C,2394.973,0.13866344,0.016627653,8.339327083,7.47E-17,1.13E-16
DENND5A,3619.3943,0.147222003,0.022930717,6.420296646,1.36E-10,1.87E-10
DENND5B,888.9539,-0.13379345,0.027343967,-4.892978863,9.93E-07,1.27E-06
DENR,3203.4146,0.103138719,0.010387746,9.92888377,3.12E-23,5.13E-23
DEPDC1B,402.19098,0.835140952,0.032586331,25.62856648,7.33E-145,3.44E-144
DEPDC1,545.71515,0.820518091,0.035776026,22.93485817,2.09E-116,7.97E-116
DEPDC4,20.935251,0.122164073,0.020647103,5.916765864,3.28E-09,4.40E-09
DEPDC5,773.24243,0.052344414,0.013204802,3.964043857,7.37E-05,9.02E-05
DEPDC6,1475.7062,-0.907959551,0.028947747,-31.36546552,5.99E-216,4.54E-215
DEPDC7,242.4079,0.087932113,0.03971451,2.214105463,0.026821525,0.03032821
DERA,1733.8385,0.151971628,0.01737997,8.744067437,2.25E-18,3.49E-18
DERL1,4794.2065,-0.057765432,0.012439045,-4.643879998,3.42E-06,4.32E-06
DERL2,1358.979,-0.418149848,0.012309867,-33.96867344,6.47E-253,6.22E-252
DERL3,802.3254,-0.016083808,0.036550507,-0.440043371,0.659905695,0.685985195
DES,12538.82,-0.449735282,0.074126624,-6.067122111,1.30E-09,1.76E-09
DET1,306.95413,-0.455270489,0.014854254,-30.64916464,2.71E-206,1.92E-205
DEXI,1629.6694,-0.482528502,0.014396215,-33.51773298,2.66E-246,2.45E-245
DFFA,1194.0135,0.253345984,0.012383496,20.45835755,5.06E-93,1.60E-92
DFFB,307.48502,0.24159451,0.015798198,15.29253591,8.57E-53,1.93E-52
DFNA5,958.3971,0.387245546,0.032550994,11.89658119,1.23E-32,2.27E-32
DFNB31,742.6406,-0.777560638,0.025169429,-30.89305818,1.48E-209,1.07E-208
DFNB59,51.898582,-0.637863864,0.024871892,-25.64597265,4.69E-145,2.20E-144
DGAT1,2742.9004,0.388647101,0.019922432,19.50801515,9.39E-85,2.78E-84
DGAT2L6,0.8247159,-1.492549217,0.089677464,-16.64352612,3.37E-62,8.27E-62
DGAT2,1725.7677,-0.534641737,0.04259506,-12.55173106,3.89E-36,7.43E-36
DGCR10,11.215609,-0.364575343,0.054172263,-6.729926369,1.70E-11,2.37E-11
DGCR11,92.58062,0.165315784,0.018546915,8.913384241,4.95E-19,7.73E-19
DGCR14,1078.7532,-0.028173189,0.012861029,-2.190585985,0.028481766,0.032167995
DGCR2,7493.865,0.209728453,0.012739993,16.46221154,6.85E-61,1.66E-60
DGCR5,376.3133,-1.27572956,0.052827363,-24.1490297,7.64E-129,3.20E-128
DGCR6L,2121.8757,-0.558029485,0.016869422,-33.07934881,5.89E-240,5.20E-239
DGCR6,1411.5671,-0.301769708,0.02712458,-11.12532286,9.45E-29,1.66E-28
DGCR8,1744.455,0.033577902,0.009680496,3.468613679,0.000523151,0.000625269
DGCR9,81.71633,-0.154071448,0.047667022,-3.232244069,0.001228221,0.001452364
DGKA,1713.9989,1.056342306,0.027194269,38.84429823,0,0
DGKB,140.87105,1.313903957,0.069455476,18.91721199,8.23E-80,2.34E-79
DGKD,2007.4619,-0.047162793,0.02078979,-2.268555553,0.023295367,0.026398218
DGKE,518.5051,-0.177121611,0.023649193,-7.489541273,6.91E-14,1.00E-13
DGKG,357.51172,0.767457532,0.043449759,17.66310222,8.07E-70,2.11E-69
DGKH,125.46326,1.148970361,0.026924046,42.67450588,0,0
DGKI,71.66397,-0.172368214,0.052924798,-3.256851594,0.001126553,0.001334157
DGKK,16.80397,-0.781764222,0.134068214,-5.831093004,5.51E-09,7.35E-09
DGKQ,1136.1746,0.562204413,0.016482652,34.108856,5.45E-255,5.33E-254
DGKZ,2311.7449,0.018006055,0.018435051,0.976729313,0.328703179,0.350847647
DGUOK,1980.0654,-0.075491783,0.013045954,-5.786604912,7.18E-09,9.56E-09
DHCR24,22445.123,-0.384664073,0.033565799,-11.46000033,2.10E-30,3.75E-30
DHCR7,4149.6562,0.371027521,0.026856024,13.81542982,2.06E-43,4.23E-43
DHDDS,1659.0018,-0.120071901,0.010491552,-11.44462739,2.50E-30,4.47E-30
DHDH,78.57704,-0.975800932,0.042203746,-23.12119224,2.83E-118,1.10E-117
DHDPSL,410.85898,-2.215135062,0.054204196,-40.8664866,0,0
DHFRL1,492.06772,-0.065885965,0.015848334,-4.15728029,3.22E-05,3.98E-05
DHFR,891.9912,0.299356459,0.020802561,14.39036529,5.95E-47,1.27E-46
DHH,19.542847,-1.06982773,0.036644261,-29.19495975,2.25E-187,1.40E-186
DHODH,511.33157,-0.518088709,0.022702557,-22.82072105,2.86E-115,1.08E-114
DHPS,2358.5674,-0.254925552,0.01298931,-19.62579606,9.31E-86,2.78E-85
DHRS11,695.3025,0.527309197,0.023726122,22.22483729,1.98E-109,7.17E-109
DHRS12,527.40814,-0.696102665,0.018130056,-38.39495291,0,0
DHRS13,837.89343,-0.361025507,0.02319991,-15.5615048,1.33E-54,3.04E-54
DHRS1,1326.3068,-0.138501064,0.021612535,-6.408367497,1.47E-10,2.02E-10
DHRS2,2484.7986,0.558288837,0.071976535,7.756539453,8.73E-15,1.28E-14
DHRS3,5882.1187,-0.65230428,0.029577178,-22.05431093,8.68E-108,3.11E-107
DHRS4L1,55.199368,-0.502009823,0.037824435,-13.27210366,3.36E-40,6.69E-40
DHRS4L2,931.5866,-0.431114846,0.022534605,-19.13123589,1.39E-81,4.00E-81
DHRS4,1760.5717,-0.456003184,0.021571607,-21.13904579,3.48E-99,1.16E-98
DHRS7B,1272.3958,-0.474357589,0.015554659,-30.49617499,2.93E-204,2.05E-203
DHRS7C,1.5876282,0.403478478,0.15457848,2.610185309,0.009049319,0.010429975
DHRS7,4861.7974,-0.993609283,0.026209444,-37.91035369,0,0
DHRS9,397.188,1.901817766,0.04776208,39.81857086,0,0
DHRSX,1109.4607,-0.376221295,0.015514029,-24.25039341,6.55E-130,2.77E-129
DHTKD1,2691.3953,-0.500035908,0.021627455,-23.12042298,2.89E-118,1.12E-117
DHX15,5449.785,0.228255291,0.010588751,21.55639452,4.61E-103,1.59E-102
DHX16,2112.3374,0.036723795,0.009854046,3.726773203,0.000193947,0.000234615
DHX29,1818.0481,-0.13754604,0.012264007,-11.21542383,3.43E-29,6.05E-29
DHX30,4278.465,-0.132218265,0.011050426,-11.96499249,5.42E-33,1.00E-32
DHX32,1846.1418,0.206921819,0.014074099,14.7023142,6.23E-49,1.35E-48
DHX33,728.8758,0.362507121,0.021162932,17.12934334,8.97E-66,2.27E-65
DHX34,1361.1326,0.15782937,0.015200404,10.38323521,2.96E-25,4.99E-25
DHX35,706.6667,0.385685937,0.011986231,32.1774165,3.65E-227,2.98E-226
DHX36,1986.1619,0.355866967,0.012861507,27.66915094,1.64E-168,9.07E-168
DHX37,1460.8003,0.209801772,0.013422436,15.63067787,4.50E-55,1.03E-54
DHX38,2999.5884,0.177576104,0.010685703,16.61810247,5.15E-62,1.26E-61
DHX40P1,11.312764,0.246607174,0.090191135,2.734272874,0.006251821,0.007243389
DHX40,2942.2686,-0.263423378,0.014416045,-18.2729302,1.36E-74,3.71E-74
DHX57,1189.5886,-0.014676591,0.010561112,-1.389682272,0.16462538,0.179211214
DHX58,884.4525,-0.391055324,0.018667881,-20.94802997,1.96E-97,6.44E-97
DHX8,2353.0396,0.266221269,0.010333757,25.76229203,2.35E-146,1.11E-145
DHX9,8766.414,0.165237268,0.009414111,17.55208364,5.73E-69,1.49E-68
DIABLO,2359.4053,-0.182028599,0.012858662,-14.15610702,1.71E-45,3.59E-45
DIAPH1,8144.43,0.118413459,0.016153855,7.330352807,2.30E-13,3.30E-13
DIAPH2,638.1221,0.496408593,0.023767836,20.88572945,7.22E-97,2.36E-96
DIAPH3,396.34412,0.795503149,0.031448537,25.29539447,3.59E-141,1.64E-140
DICER1,3157.589,0.161437393,0.015800063,10.21751593,1.66E-24,2.77E-24
DIDO1,3903.0396,0.08089849,0.011255424,7.187511843,6.60E-13,9.42E-13
DIMT1L,918.2424,0.211511699,0.011424441,18.5139655,1.59E-76,4.42E-76
DIO1,698.3585,-6.477590034,0.07081152,-91.4764999,0,0
DIO2,1826.6488,-0.211980473,0.048085752,-4.408384302,1.04E-05,1.30E-05
DIO3OS,9.08428,1.339457578,0.058720135,22.81087348,3.58E-115,1.35E-114
DIO3,75.24298,0.466387227,0.053325981,8.745966163,2.21E-18,3.43E-18
DIP2A,1817.402,-0.024428946,0.015152685,-1.612185994,0.106921472,0.117557609
DIP2B,3343.703,0.775147421,0.016717369,46.36778795,0,0
DIP2C,1679.4791,-0.35382523,0.023513407,-15.0478076,3.57E-51,7.91E-51
DIRAS1,644.5111,-0.604430181,0.049649488,-12.17394593,4.28E-34,7.97E-34
DIRAS2,325.79486,-0.100717142,0.065937448,-1.527464961,0.126645434,0.138730967
DIRAS3,282.3924,-1.923444846,0.044638032,-43.0898219,0,0
DIRC1,2.6677504,0.326765386,0.070438994,4.638984257,3.50E-06,4.42E-06
DIRC2,877.14734,0.369626575,0.014685108,25.17016455,8.50E-140,3.85E-139
DIRC3,41.099342,-0.24650776,0.043011497,-5.731206186,9.97E-09,1.32E-08
DIS3L2,1072.5432,-0.126428481,0.010567137,-11.9643084,5.47E-33,1.01E-32
DIS3L,1441.1521,-0.168351082,0.013221431,-12.73319682,3.87E-37,7.47E-37
DIS3,2124.37,0.448432742,0.012120056,36.99923086,1.18E-299,1.44E-298
DISC1,491.96408,-0.299713235,0.027381087,-10.94599463,6.95E-28,1.21E-27
DISC2,2.652862,-1.779227133,0.081014492,-21.96183769,6.67E-107,2.38E-106
DISP1,613.2011,-0.924714552,0.021810071,-42.39851219,0,0
DISP2,282.2753,0.429476926,0.040071538,10.71775508,8.40E-27,1.44E-26
DIXDC1,1229.1499,-0.724498721,0.027259433,-26.57790886,1.22E-155,6.21E-155
DKC1,3658.1443,0.637782458,0.013930727,45.78242551,0,0
DKFZP434H168,0.83516383,1.010662763,0.130310923,7.755779322,8.78E-15,1.29E-14
DKFZP434K028,0.75714666,1.345144026,0.084220648,15.9716655,2.01E-57,4.72E-57
DKFZP434L187,9.885573,-1.890159737,0.072363392,-26.12038592,2.14E-150,1.05E-149
DKFZP586I1420,536.55225,-0.304769709,0.018017744,-16.91497601,3.49E-64,8.72E-64
DKFZP686I15217,122.68514,-0.494391888,0.019106084,-25.87615004,1.24E-147,5.92E-147
DKFZp434J0226,32.29034,0.797034526,0.059329988,13.4339237,3.83E-41,7.69E-41
DKFZp434L192,0.30327046,-0.510329013,0.186659154,-2.734015458,0.006256711,0.007248641
DKFZp566F0947,4.82269,-0.900235004,0.049272651,-18.27048043,1.42E-74,3.88E-74
DKFZp686A1627,11.569652,0.330699592,0.177744766,1.860530685,0.062810481,0.069946318
DKFZp686O24166,252.76581,1.246413525,0.038762403,32.15521817,7.47E-227,6.08E-226
DKFZp761E198,1249.6221,0.083778617,0.018972774,4.415728386,1.01E-05,1.26E-05
DKFZp779M0652,20.605423,-0.879450421,0.048583554,-18.10181306,3.08E-73,8.32E-73
DKK1,585.8339,0.557023542,0.06125166,9.094015484,9.54E-20,1.51E-19
DKK2,139.68541,-0.262449188,0.041363938,-6.344879146,2.23E-10,3.05E-10
DKK3,4606.133,0.148011709,0.035271909,4.196305539,2.71E-05,3.36E-05
DKK4,83.05614,-0.750719926,0.105804807,-7.095329074,1.29E-12,1.83E-12
DKKL1,14.76305,-1.329331401,0.04645542,-28.6152057,4.35E-180,2.61E-179
DLAT,2108.0732,0.133990254,0.013374196,10.01856523,1.26E-23,2.09E-23
DLC1,2239.329,-1.249757087,0.02910864,-42.93423153,0,0
DLD,4090.1926,0.048287239,0.014099475,3.424754396,0.000615355,0.000734092
DLEC1,111.00792,-0.426021814,0.047581076,-8.953597809,3.44E-19,5.39E-19
DLEU1,254.26657,0.232529628,0.017911736,12.98197035,1.55E-38,3.03E-38
DLEU2L,12.409185,0.072226897,0.026462889,2.729365505,0.006345633,0.007349152
DLEU2,135.6012,0.351979045,0.0252131,13.96016558,2.73E-44,5.65E-44
DLEU7,13.881715,0.591717507,0.035456317,16.68863437,1.59E-62,3.90E-62
DLG1,3161.7842,0.423219941,0.01401143,30.20533519,2.02E-200,1.38E-199
DLG2,349.8745,0.237784391,0.050684442,4.691467049,2.71E-06,3.43E-06
DLG3,2543.509,0.128784733,0.023308576,5.525208132,3.29E-08,4.33E-08
DLG4,1015.66376,-0.139417008,0.032673942,-4.266917271,1.98E-05,2.46E-05
DLG5,4489.7935,0.310611849,0.021078468,14.73597837,3.79E-49,8.24E-49
DLGAP1,202.3239,0.942092709,0.056850301,16.57146373,1.12E-61,2.74E-61
DLGAP2,43.542984,-0.219825236,0.058327983,-3.768778307,0.000164049,0.00019892
DLGAP3,123.66774,0.067994329,0.046872633,1.45061893,0.146886001,0.160268615
DLGAP4,5055.7656,-0.000381029,0.012504053,-0.03047244,0.975690273,0.977803508
DLGAP5,770.9063,0.807190579,0.03754881,21.49710171,1.66E-102,5.69E-102
DLK1,10106.345,-6.359244616,0.132791573,-47.88891698,0,0
DLK2,150.86403,1.281511921,0.049452766,25.91385723,4.65E-148,2.23E-147
DLL1,751.85486,1.247861415,0.032699428,38.16156763,0,0
DLL3,713.1883,2.660647152,0.076478544,34.78945854,3.51E-265,3.63E-264
DLL4,916.7664,-0.65063984,0.029701244,-21.90614797,2.27E-106,8.04E-106
DLST,4835.059,-0.063263172,0.011975306,-5.282801986,1.27E-07,1.66E-07
DLX1,169.78745,-1.491554296,0.062552814,-23.84471927,1.15E-125,4.71E-125
DLX2,60.84461,-0.610800924,0.063515647,-9.616542529,6.81E-22,1.10E-21
DLX3,167.03699,0.833816775,0.052683101,15.82702523,2.03E-56,4.71E-56
DLX4,74.16787,0.366616077,0.04283509,8.558779263,1.14E-17,1.75E-17
DLX5,509.7247,-0.81565824,0.059132769,-13.79367567,2.78E-43,5.71E-43
DLX6AS,42.94014,-0.299762311,0.070628889,-4.244188394,2.19E-05,2.72E-05
DLX6,152.57236,-0.557181019,0.066077018,-8.432296689,3.39E-17,5.15E-17
DMAP1,1608.724,-0.497460843,0.014267137,-34.86760077,2.30E-266,2.40E-265
DMBT1,4872.3516,2.448343753,0.083316639,29.38601191,8.29E-190,5.25E-189
DMBX1,52.803894,0.291982575,0.065860677,4.433336947,9.28E-06,1.16E-05
DMC1,35.858078,-0.031829783,0.037492794,-0.848957337,0.395905032,0.420241426
DMD,1277.507,-0.692671798,0.035228016,-19.66252671,4.52E-86,1.35E-85
DMGDH,684.21924,-5.064160464,0.057043301,-88.77747918,0,0
DMKN,2719.3826,1.15635559,0.051387406,22.50270423,3.91E-112,1.45E-111
DMP1,6.055629,-0.06553446,0.059214699,-1.106726222,0.268412315,0.288278451
DMPK,1870.9669,-0.231319556,0.024668798,-9.37700977,6.79E-21,1.09E-20
DMRT1,19.488396,-1.108538166,0.089349,-12.40683356,2.40E-35,4.54E-35
DMRT2,261.91293,-0.376099877,0.072384331,-5.195874205,2.04E-07,2.64E-07
DMRT3,63.919117,-0.648621061,0.068836599,-9.422619227,4.40E-21,7.07E-21
DMRTA1,133.94843,-0.952242531,0.045745774,-20.81596732,3.10E-96,1.01E-95
DMRTA2,74.093956,0.834726414,0.07504534,11.12296135,9.70E-29,1.70E-28
DMRTB1,2.930207,-2.619359736,0.154173775,-16.98965822,9.80E-65,2.46E-64
DMRTC1B,57.084812,-0.735930302,0.058807541,-12.51421648,6.24E-36,1.19E-35
DMRTC1,7.3072805,-0.421567449,0.144072845,-2.926071517,0.00343272,0.004006579
DMRTC2,2.5807254,-2.466567357,0.128018056,-19.26733961,1.01E-82,2.95E-82
DMTF1,1875.222,-0.16795969,0.01630703,-10.29983357,7.06E-25,1.19E-24
DMWD,1398.2472,0.036928601,0.014865434,2.484192615,0.012984555,0.014882203
DMXL1,2136.3313,-0.667619515,0.021753656,-30.68999174,7.74E-207,5.50E-206
DMXL2,1602.2233,-0.251927919,0.023656434,-10.64944632,1.75E-26,3.01E-26
DNA2,313.11932,0.5532555,0.0257133,21.51631637,1.10E-102,3.77E-102
DNAH10,94.766045,-0.62035653,0.039830559,-15.57488875,1.08E-54,2.47E-54
DNAH11,221.3457,-1.911958789,0.057880428,-33.03290698,2.74E-239,2.41E-238
DNAH12,34.022503,-1.684517257,0.056722636,-29.69744331,8.29E-194,5.41E-193
DNAH14,200.94751,-0.535922655,0.029940434,-17.89962885,1.19E-71,3.16E-71
DNAH17,248.97882,1.984124275,0.037262757,53.24684629,0,0
DNAH1,536.01483,-0.491408611,0.028667637,-17.14158051,7.26E-66,1.84E-65
DNAH2,210.70264,0.004560164,0.048612647,0.09380613,0.925263162,0.934211105
DNAH3,77.44709,0.128936555,0.056002005,2.302356026,0.021315103,0.024199987
DNAH5,429.52335,-1.197750122,0.047109752,-25.42467469,1.35E-142,6.22E-142
DNAH6,111.35988,-1.125082902,0.040924778,-27.49148455,2.22E-166,1.21E-165
DNAH7,131.67041,-0.669405442,0.041852713,-15.9943143,1.40E-57,3.29E-57
DNAH8,42.74437,-2.983720611,0.066342529,-44.97447831,0,0
DNAH9,176.34027,-1.451582272,0.055393957,-26.20470426,2.35E-151,1.16E-150
DNAI1,58.21587,-2.751343688,0.064639923,-42.5641548,0,0
DNAI2,22.550512,-1.778189242,0.090272893,-19.69793127,2.25E-86,6.75E-86
DNAJA1,7202.0957,-0.042054355,0.013087408,-3.213344808,0.001311987,0.001549976
DNAJA2,3608.4978,0.013583355,0.010623637,1.278597356,0.201038882,0.217883981
DNAJA3,3020.6536,0.098186906,0.011646494,8.430597715,3.44E-17,5.23E-17
DNAJA4,2390.911,-0.060842042,0.027382412,-2.221938727,0.026287447,0.029732563
DNAJB11,3671.8726,0.208985032,0.015701821,13.30960499,2.04E-40,4.06E-40
DNAJB12,2730.2356,-0.219069878,0.009726116,-22.52388064,2.42E-112,8.97E-112
DNAJB13,96.12166,-2.307329291,0.06486195,-35.57292535,3.67E-277,4.04E-276
DNAJB14,650.7614,0.020420581,0.017502919,1.166695685,0.243333286,0.262145326
DNAJB1,8961.556,0.442034964,0.01853054,23.85440298,9.12E-126,3.74E-125
DNAJB2,5124.269,-0.285226068,0.01776399,-16.056419,5.15E-58,1.22E-57
DNAJB3,3.2971509,0.986340728,0.087425487,11.28207308,1.61E-29,2.85E-29
DNAJB4,895.8514,-0.149984193,0.023141476,-6.48118536,9.10E-11,1.25E-10
DNAJB5,981.7281,0.036665297,0.030016128,1.221519874,0.221889246,0.239664871
DNAJB6,3489.045,0.074134105,0.012945679,5.726552313,1.02E-08,1.36E-08
DNAJB7,7.9135556,0.036281539,0.030739929,1.180273988,0.23789126,0.256418264
DNAJB8,0.28614435,-0.618788977,0.141200643,-4.382338227,1.17E-05,1.47E-05
DNAJB9,2318.1077,-0.757992039,0.020850239,-36.35411769,2.26E-289,2.63E-288
DNAJC10,5385.06,-0.234710535,0.017017188,-13.79255713,2.83E-43,5.80E-43
DNAJC11,2613.9895,0.111249515,0.010780823,10.31920405,5.77E-25,9.71E-25
DNAJC12,550.2322,-1.048285865,0.045915888,-22.83056959,2.28E-115,8.62E-115
DNAJC13,2939.9653,0.050142976,0.014092692,3.558083629,0.00037357,0.000448148
DNAJC14,2476.3064,-0.166195906,0.008594517,-19.33743518,2.60E-83,7.63E-83
DNAJC15,1719.2468,0.339485369,0.023421589,14.49454874,1.31E-47,2.81E-47
DNAJC16,1355.502,-0.138843098,0.011797912,-11.76844687,5.68E-32,1.04E-31
DNAJC17,569.1041,-0.431787203,0.014352962,-30.08349011,7.97E-199,5.40E-198
DNAJC18,432.98514,0.089521471,0.025625128,3.493503341,0.000476727,0.000570587
DNAJC19,1145.028,-0.289964156,0.014996234,-19.33579811,2.68E-83,7.88E-83
DNAJC1,1797.069,-0.685110445,0.01814823,-37.75081403,0,0
DNAJC21,2492.1692,0.126610173,0.013068995,9.68782784,3.40E-22,5.53E-22
DNAJC22,376.9298,-0.426287566,0.043164934,-9.875783986,5.30E-23,8.70E-23
DNAJC24,605.40424,-0.096576508,0.012275624,-7.867339861,3.62E-15,5.36E-15
DNAJC25-GNG10,1.3102908,1.320705974,0.099874341,13.22367646,6.41E-40,1.27E-39
DNAJC25,539.88824,-0.457019274,0.015377654,-29.71969991,4.27E-194,2.79E-193
DNAJC27,313.9429,-0.29743507,0.01626078,-18.29156215,9.66E-75,2.64E-74
DNAJC28,70.014656,-0.745864058,0.02043429,-36.50061102,1.08E-291,1.27E-290
DNAJC2,1584.1241,0.280733048,0.014101581,19.90791264,3.47E-88,1.06E-87
DNAJC30,939.2288,-0.463470379,0.013714731,-33.79361681,2.45E-250,2.32E-249
DNAJC3,4726.5654,-0.215906566,0.016080728,-13.42641764,4.23E-41,8.51E-41
DNAJC4,1794.0415,-0.84960234,0.016215969,-52.39294317,0,0
DNAJC5B,39.92764,-0.821939678,0.045169741,-18.19668768,5.48E-74,1.49E-73
DNAJC5G,1.576097,-0.360406937,0.095365776,-3.779206245,0.000157329,0.000190954
DNAJC5,5747.107,0.358406224,0.012813509,27.97096612,3.67E-172,2.08E-171
DNAJC6,584.39185,0.410592117,0.044307361,9.266905256,1.92E-20,3.05E-20
DNAJC7,3771.3901,0.034377813,0.010743631,3.199831926,0.001375077,0.001622628
DNAJC8,4145.235,-0.205831236,0.009395542,-21.90733071,2.21E-106,7.84E-106
DNAJC9,1756.4636,0.269583775,0.014784414,18.2343232,2.76E-74,7.51E-74
DNAL1,852.70215,-0.49756013,0.017598034,-28.27362059,7.30E-176,4.24E-175
DNAL4,1099.6614,-0.441948914,0.014577251,-30.31771289,6.70E-202,4.63E-201
DNALI1,1127.873,-1.831559938,0.038747057,-47.2696534,0,0
DNASE1L1,1297.9427,-0.015499259,0.01568183,-0.988357797,0.322977449,0.344953199
DNASE1L2,57.65185,-0.354668198,0.036449114,-9.730502656,2.23E-22,3.65E-22
DNASE1L3,281.39108,-0.579644016,0.052645486,-11.01032706,3.41E-28,5.94E-28
DNASE1,324.4788,-0.462335017,0.034047242,-13.57922076,5.32E-42,1.08E-41
DNASE2B,50.632164,-2.691728724,0.060555725,-44.45044162,0,0
DNASE2,3531.224,-0.334891887,0.013855203,-24.17084003,4.51E-129,1.89E-128
DND1,214.95244,-0.181129345,0.01929666,-9.386564589,6.20E-21,9.93E-21
DNER,1750.8347,1.241686578,0.07414024,16.74780895,5.88E-63,1.45E-62
DNHD1,437.04138,-0.348552474,0.025272892,-13.79155498,2.87E-43,5.87E-43
DNLZ,424.36142,-0.379588191,0.021863292,-17.36189561,1.60E-67,4.12E-67
DNM1L,3552.2769,0.204569372,0.012298241,16.63403438,3.95E-62,9.69E-62
DNM1P35,76.78484,-0.857789494,0.027854593,-30.79526269,3.03E-208,2.18E-207
DNM1,1399.4594,-0.07005006,0.038534185,-1.817867923,0.069084322,0.076773347
DNM2,7993.68,0.348887464,0.012939195,26.96361513,3.95E-160,2.07E-159
DNM3,443.86978,0.92281852,0.040600851,22.72904394,2.31E-114,8.69E-114
