Hugo,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,4486.9014,-4.147869679557506,0.05808434079552258,-71.4111518310843,0.0,0.0
A1CF,231.59879,-1.6252378490445856,0.1247410286077981,-13.028895682386453,8.381188097702929e-39,2.3741840612374275e-38
A2BP1,82.435036,-2.0458785903875203,0.08440445076561202,-24.23898943515251,8.639191352984507e-130,7.430726521141174e-129
A2LD1,281.77466,-0.35505789965592605,0.022769454635626324,-15.59360579064477,8.046087745742014e-55,2.984337774012783e-54
A2ML1,1567.7919,-1.3052192749833507,0.08593472964313359,-15.18849573861016,4.214812000714545e-52,1.493375522494734e-51
A2M,42912.96,0.410507297419013,0.033294840703891465,12.329456718831313,6.286916385865501e-35,1.6668229027195694e-34
A4GALT,1458.4003,-0.12089487218463141,0.03195691897534264,-3.783057818493442,0.0001549134108724064,0.00020283504610915955
A4GNT,16.958672,1.4212321458295947,0.06800573512283015,20.898710134705592,5.501143238299683e-97,3.45885655307422e-96
AAA1,1.8696795,-0.45197781781364166,0.09847907916574135,-4.589582088323126,4.441343131153275e-06,6.137748086284926e-06
AAAS,1850.0806,-0.09852474699822532,0.01036049585930683,-9.509655554731058,1.9129488052098738e-21,3.9188694631986134e-21
AACSL,23.056095,0.5045453205886745,0.07600271006157125,6.638517497335724,3.1685373972420345e-11,5.0974518269814764e-11
AACS,1911.6604,-0.28812118644116763,0.01668876391527666,-17.264381466708002,8.723349695088435e-67,3.8111303957576277e-66
AADACL2,8.228301,-0.8000321599075657,0.13063426471792094,-6.124213747710665,9.113249002638385e-10,1.4113543012681794e-09
AADACL3,1.5251278,-0.6894297373355456,0.14465679730656342,-4.765968486599865,1.8794863630553368e-06,2.626790887996403e-06
AADACL4,0.89804226,-0.6843489142487733,0.09864267769352278,-6.937655487972525,3.986604467476339e-12,6.585256012442255e-12
AADAC,877.576,-2.786514598676629,0.09316676181844968,-29.90889180099012,1.507890852604885e-196,2.0344035697934297e-195
AADAT,331.4638,-0.9799317959267133,0.02959554797139679,-33.11078398932799,2.0789306978442417e-240,3.466416877756832e-239
AAGAB,2390.369,-0.1563360998814576,0.011703774907833694,-13.357750051807393,1.067419849494e-40,3.127749095545242e-40
AAK1,2561.9766,0.07211500112046529,0.017259089814091345,4.178377996595528,2.935954174628727e-05,3.943596426817065e-05
